2025-04-30 08:07:06:079 16 sec: 1865000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=94335, Min=44512, Avg=61139.6, 90=80447, 99=91455, 99.9=94335, 99.99=94335] 
2025-04-30 08:07:07:079 17 sec: 1984000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=92671, Min=44416, Avg=61849.95, 90=81407, 99=92159, 99.9=92671, 99.99=92671] 
2025-04-30 08:07:08:079 18 sec: 2106000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=90815, Min=50240, Avg=67754.62, 90=82303, 99=90367, 99.9=90815, 99.99=90815] 
2025-04-30 08:07:09:079 19 sec: 2226000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=98815, Min=46400, Avg=60446.27, 90=71935, 99=98431, 99.9=98815, 99.99=98815] 
2025-04-30 08:07:10:079 20 sec: 2344000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=91583, Min=45088, Avg=61066.98, 90=74687, 99=86271, 99.9=91583, 99.99=91583] 
2025-04-30 08:07:11:079 21 sec: 2465000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=102911, Min=49696, Avg=73591.67, 90=88191, 99=101183, 99.9=102911, 99.99=102911] 
2025-04-30 08:07:12:079 22 sec: 2584000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=92799, Min=53696, Avg=72870.05, 90=86911, 99=91711, 99.9=92799, 99.99=92799] 
2025-04-30 08:07:13:079 23 sec: 2706000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=110143, Min=42112, Avg=72810.36, 90=89599, 99=109247, 99.9=110143, 99.99=110143] 
2025-04-30 08:07:14:079 24 sec: 2827000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=91135, Min=47296, Avg=62100.23, 90=79295, 99=89727, 99.9=91135, 99.99=91135] 
2025-04-30 08:07:15:079 25 sec: 2947000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=81983, Min=50752, Avg=58942.27, 90=72319, 99=81599, 99.9=81983, 99.99=81983] 
2025-04-30 08:07:16:079 26 sec: 3068000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=83199, Min=45056, Avg=54992.26, 90=60255, 99=82431, 99.9=83199, 99.99=83199] 
2025-04-30 08:07:17:079 27 sec: 3185000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=95679, Min=45216, Avg=59686.84, 90=75199, 99=93247, 99.9=95679, 99.99=95679] 
2025-04-30 08:07:18:079 28 sec: 3307000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=98559, Min=47424, Avg=69766.3, 90=87423, 99=98303, 99.9=98559, 99.99=98559] 
2025-04-30 08:07:19:079 29 sec: 3424000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=98239, Min=50752, Avg=70998.7, 90=87167, 99=96575, 99.9=98239, 99.99=98239] 
2025-04-30 08:07:20:079 30 sec: 3545000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=102399, Min=50784, Avg=72229.02, 90=84735, 99=99455, 99.9=102399, 99.99=102399] 
