request_size,request_count,avg_latency,p90,p99,p999,QPS,eplased_time,throughput,avg_cpu_util
4096,26214400,29.61,31.16,35.11,40.53,6.58,3984.09,25.7,276.57
8192,13107200,32.67,35.04,39.17,46.87,6.2,2115.66,48.4,318.5
16384,6553600,37.92,41.42,45.63,52.52,5.63,1163.79,87.99,337.74
32768,3276800,49.88,55.61,64.84,89.85,4.7,697.6,146.79,361.25
65536,1638400,75.05,87.51,98.68,170.59,3.21,510.64,200.53,346.3
131072,819200,124.3,151.05,166.85,286.78,1.83,446.51,229.33,304.73
262144,409600,844.05,262.24,16212.21,43456.19,0.74,551.59,185.64,363.39
