field_length,request_count,avg_latency,p90,p99,p999,KOPS,duration
4096,1000000,153.1459,158.44,171.91,179.74,6.51846,153.411
8192,1000000,162.2635,177.43,179.82,196.23,6.15267,162.531
16384,1000000,178.5291,192.59,199.38,226.06,5.59241,178.814
32768,1000000,213.6371,245.11,249.62,286.75,4.674,213.949
65536,1000000,346.2624,350.06,397.4,5410.26,2.88512,346.607
131072,1000000,855.0051,593.16,11189.95,20748.16,1.169,855.434
262144,1000000,3254.1097,16757.93,31376.49,39382.89,0.307263,3254.55
