2025-05-01 03:19:22:204 16 sec: 1243000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=64479, Min=31248, Avg=45323.49, 90=57599, 99=64479, 99.9=64479, 99.99=64479] 
2025-05-01 03:19:23:204 17 sec: 1327000 operations; 84000 current ops/sec; est completion in 5 minutes [INSERT: Count=84000, Max=67711, Min=30944, Avg=44990.76, 90=58847, 99=67711, 99.9=67711, 99.99=67711] 
2025-05-01 03:19:24:204 18 sec: 1402000 operations; 75000 current ops/sec; est completion in 5 minutes [INSERT: Count=75000, Max=94591, Min=34816, Avg=53451.73, 90=77503, 99=94591, 99.9=94591, 99.99=94591] 
2025-05-01 03:19:25:204 19 sec: 1482000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=119487, Min=35616, Avg=64511, 90=90431, 99=119487, 99.9=119487, 99.99=119487] 
2025-05-01 03:19:26:204 20 sec: 1564000 operations; 82000 current ops/sec; est completion in 5 minutes [INSERT: Count=82000, Max=124927, Min=34912, Avg=59679.22, 90=86911, 99=124927, 99.9=124927, 99.99=124927] 
2025-05-01 03:19:27:204 21 sec: 1644000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80812, Max=79487, Min=33408, Avg=48071.66, 90=69119, 99=79487, 99.9=79487, 99.99=79487] 
2025-05-01 03:19:28:204 22 sec: 1724000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=79188, Max=75711, Min=35712, Avg=45890.4, 90=57791, 99=75711, 99.9=75711, 99.99=75711] 
2025-05-01 03:19:29:204 23 sec: 1806000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=65343, Min=32064, Avg=42178.24, 90=55391, 99=65343, 99.9=65343, 99.99=65343] 
2025-05-01 03:19:30:204 24 sec: 1885000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=76415, Min=31760, Avg=42725.16, 90=53823, 99=76415, 99.9=76415, 99.99=76415] 
2025-05-01 03:19:31:204 25 sec: 1962000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=77000, Max=80447, Min=35072, Avg=41465.35, 90=49535, 99=80447, 99.9=80447, 99.99=80447] 
2025-05-01 03:19:32:204 26 sec: 2044000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=93055, Min=33376, Avg=42046.83, 90=52447, 99=93055, 99.9=93055, 99.99=93055] 
2025-05-01 03:19:33:204 27 sec: 2121000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=77000, Max=131711, Min=33568, Avg=62449.25, 90=89663, 99=131711, 99.9=131711, 99.99=131711] 
2025-05-01 03:19:34:204 28 sec: 2202000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=136959, Min=37024, Avg=82458.27, 90=116927, 99=136959, 99.9=136959, 99.99=136959] 
2025-05-01 03:19:35:204 29 sec: 2284000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=120383, Min=34336, Avg=69507.51, 90=94271, 99=120383, 99.9=120383, 99.99=120383] 
2025-05-01 03:19:36:204 30 sec: 2362000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=137471, Min=34496, Avg=66780.92, 90=89023, 99=137471, 99.9=137471, 99.99=137471] 
2025-05-01 03:19:37:204 31 sec: 2444000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=133631, Min=33728, Avg=73889.76, 90=101375, 99=133631, 99.9=133631, 99.99=133631] 
2025-05-01 03:19:38:204 32 sec: 2524000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=137471, Min=33760, Avg=74832.8, 90=100863, 99=137471, 99.9=137471, 99.99=137471] 
2025-05-01 03:19:39:204 33 sec: 2605000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=102463, Min=35840, Avg=61537.58, 90=83519, 99=102463, 99.9=102463, 99.99=102463] 
2025-05-01 03:19:40:204 34 sec: 2684000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=126015, Min=30512, Avg=66230.99, 90=95423, 99=126015, 99.9=126015, 99.99=126015] 
2025-05-01 03:19:41:204 35 sec: 2761000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=77000, Max=121599, Min=36032, Avg=76032.42, 90=109439, 99=121599, 99.9=121599, 99.99=121599] 
2025-05-01 03:19:42:204 36 sec: 2841000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=141311, Min=36704, Avg=84617, 90=115583, 99=141311, 99.9=141311, 99.99=141311] 
2025-05-01 03:19:43:204 37 sec: 2923000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=122623, Min=32640, Avg=65375.51, 90=97919, 99=122623, 99.9=122623, 99.99=122623] 
2025-05-01 03:19:44:204 38 sec: 3004000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=145151, Min=34080, Avg=73747.56, 90=109503, 99=145151, 99.9=145151, 99.99=145151] 
2025-05-01 03:19:45:204 39 sec: 3084000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=99839, Min=32800, Avg=55618, 90=76927, 99=99839, 99.9=99839, 99.99=99839] 
2025-05-01 03:19:46:204 40 sec: 3164000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=95935, Min=36704, Avg=54663.2, 90=68223, 99=95935, 99.9=95935, 99.99=95935] 
2025-05-01 03:19:47:204 41 sec: 3246000 operations; 82000 current ops/sec; est completion in 4 minutes [INSERT: Count=82000, Max=81407, Min=33408, Avg=46524.1, 90=57727, 99=81407, 99.9=81407, 99.99=81407] 
2025-05-01 03:19:48:204 42 sec: 3323000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=77000, Max=111743, Min=33728, Avg=56333.3, 90=77119, 99=111743, 99.9=111743, 99.99=111743] 
2025-05-01 03:19:49:204 43 sec: 3402000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=108223, Min=32864, Avg=60027.75, 90=89343, 99=108223, 99.9=108223, 99.99=108223] 
2025-05-01 03:19:50:204 44 sec: 3483000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=81023, Min=34752, Avg=52430.22, 90=68351, 99=81023, 99.9=81023, 99.99=81023] 
2025-05-01 03:19:51:204 45 sec: 3563000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=108415, Min=32800, Avg=55908.4, 90=75391, 99=108415, 99.9=108415, 99.99=108415] 
2025-05-01 03:19:52:205 46 sec: 3643000 operations; 79920.08 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=135679, Min=33920, Avg=56442.67, 90=79807, 99=135679, 99.9=135679, 99.99=135679] 
