2025-05-01 04:13:14:647 20 sec: 1566000 operations; 84000 current ops/sec; est completion in 5 minutes [INSERT: Count=84000, Max=176255, Min=38016, Avg=88568.95, 90=110079, 99=176255, 99.9=176255, 99.99=176255] 
2025-05-01 04:13:15:647 21 sec: 1640000 operations; 74000 current ops/sec; est completion in 4 minutes [INSERT: Count=74000, Max=173183, Min=36736, Avg=86467.89, 90=126079, 99=173183, 99.9=173183, 99.99=173183] 
2025-05-01 04:13:16:647 22 sec: 1725000 operations; 85000 current ops/sec; est completion in 4 minutes [INSERT: Count=85000, Max=173055, Min=41536, Avg=90086.02, 90=117247, 99=173055, 99.9=173055, 99.99=173055] 
2025-05-01 04:13:17:647 23 sec: 1804000 operations; 79000 current ops/sec; est completion in 4 minutes [INSERT: Count=79000, Max=108607, Min=36992, Avg=75694.58, 90=102079, 99=108607, 99.9=108607, 99.99=108607] 
2025-05-01 04:13:18:647 24 sec: 1884000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=160895, Min=34368, Avg=89233.8, 90=126527, 99=160895, 99.9=160895, 99.99=160895] 
2025-05-01 04:13:19:647 25 sec: 1960000 operations; 76000 current ops/sec; est completion in 4 minutes [INSERT: Count=76000, Max=145535, Min=36064, Avg=84748.63, 90=117247, 99=145535, 99.9=145535, 99.99=145535] 
2025-05-01 04:13:20:647 26 sec: 2045000 operations; 85000 current ops/sec; est completion in 4 minutes [INSERT: Count=85000, Max=132735, Min=35872, Avg=75125.84, 90=104895, 99=132735, 99.9=132735, 99.99=132735] 
2025-05-01 04:13:21:647 27 sec: 2122000 operations; 77000 current ops/sec; est completion in 4 minutes [INSERT: Count=77000, Max=130175, Min=38048, Avg=78925.92, 90=110463, 99=130175, 99.9=130175, 99.99=130175] 
2025-05-01 04:13:22:647 28 sec: 2206000 operations; 84000 current ops/sec; est completion in 4 minutes [INSERT: Count=84000, Max=143231, Min=33888, Avg=70082.86, 90=93759, 99=143231, 99.9=143231, 99.99=143231] 
2025-05-01 04:13:23:647 29 sec: 2282000 operations; 76000 current ops/sec; est completion in 4 minutes [INSERT: Count=76000, Max=98239, Min=35104, Avg=63050.74, 90=87039, 99=98239, 99.9=98239, 99.99=98239] 
2025-05-01 04:13:24:647 30 sec: 2366000 operations; 84000 current ops/sec; est completion in 4 minutes [INSERT: Count=84000, Max=118207, Min=32096, Avg=71261.24, 90=97151, 99=118207, 99.9=118207, 99.99=118207] 
2025-05-01 04:13:25:647 31 sec: 2446000 operations; 80000 current ops/sec; est completion in 4 minutes [INSERT: Count=80000, Max=146303, Min=36064, Avg=70113.6, 90=96447, 99=146303, 99.9=146303, 99.99=146303] 
