
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 22:00:06:402 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 22:00:07:380 1 sec: 4000 operations; 3996 current ops/sec; est completion in 2 hours 4 minutes [INSERT: Count=6959, Max=543743, Min=530944, Avg=537214.95, 90=543743, 99=543743, 99.9=543743, 99.99=543743] 
2025-04-30 22:00:08:380 2 sec: 154000 operations; 150150.15 current ops/sec; est completion in 6 minutes [INSERT: Count=147041, Max=584703, Min=56768, Avg=261590.5, 90=483583, 99=560127, 99.9=584703, 99.99=584703] 
2025-04-30 22:00:09:380 3 sec: 253000 operations; 99000 current ops/sec; est completion in 5 minutes [INSERT: Count=99000, Max=151807, Min=51616, Avg=82740.04, 90=107071, 99=151807, 99.9=151807, 99.99=151807] 
2025-04-30 22:00:10:380 4 sec: 353000 operations; 100000 current ops/sec; est completion in 5 minutes [INSERT: Count=100000, Max=131199, Min=48352, Avg=80868, 90=98367, 99=129791, 99.9=131199, 99.99=131199] 
2025-04-30 22:00:11:380 5 sec: 456000 operations; 103000 current ops/sec; est completion in 5 minutes [INSERT: Count=103000, Max=114431, Min=53440, Avg=83009.09, 90=101631, 99=113791, 99.9=114431, 99.99=114431] 
2025-04-30 22:00:12:380 6 sec: 554000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=128191, Min=47232, Avg=76282.29, 90=100031, 99=128191, 99.9=128191, 99.99=128191] 
2025-04-30 22:00:13:380 7 sec: 651000 operations; 97000 current ops/sec; est completion in 5 minutes [INSERT: Count=97000, Max=103743, Min=52864, Avg=73156.45, 90=94463, 99=103743, 99.9=103743, 99.99=103743] 
2025-04-30 22:00:14:380 8 sec: 755000 operations; 104000 current ops/sec; est completion in 5 minutes [INSERT: Count=104000, Max=177151, Min=47744, Avg=70335.23, 90=101567, 99=157951, 99.9=177151, 99.99=177151] 
2025-04-30 22:00:15:380 9 sec: 855000 operations; 100000 current ops/sec; est completion in 5 minutes [INSERT: Count=100000, Max=159999, Min=49440, Avg=77995.36, 90=115199, 99=135807, 99.9=159999, 99.99=159999] 
2025-04-30 22:00:16:380 10 sec: 952000 operations; 97000 current ops/sec; est completion in 5 minutes [INSERT: Count=97000, Max=100415, Min=51296, Avg=64953.4, 90=87807, 99=100415, 99.9=100415, 99.99=100415] 
2025-04-30 22:00:17:380 11 sec: 1056000 operations; 104000 current ops/sec; est completion in 5 minutes [INSERT: Count=104000, Max=149119, Min=44672, Avg=68876.15, 90=99775, 99=147199, 99.9=149119, 99.99=149119] 
2025-04-30 22:00:18:380 12 sec: 1154000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=115455, Min=48192, Avg=67875.1, 90=86271, 99=115455, 99.9=115455, 99.99=115455] 
2025-04-30 22:00:19:380 13 sec: 1252000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=115519, Min=47808, Avg=67918.53, 90=91583, 99=115519, 99.9=115519, 99.99=115519] 
2025-04-30 22:00:20:380 14 sec: 1355000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=117823, Min=47200, Avg=72385.09, 90=96639, 99=114303, 99.9=117823, 99.99=117823] 
2025-04-30 22:00:21:380 15 sec: 1454000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=133631, Min=52384, Avg=83786.02, 90=116799, 99=133631, 99.9=133631, 99.99=133631] 
2025-04-30 22:00:22:380 16 sec: 1553000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=198271, Min=51136, Avg=93326.22, 90=147071, 99=198271, 99.9=198271, 99.99=198271] 
2025-04-30 22:00:23:380 17 sec: 1656000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=154751, Min=49856, Avg=85703.15, 90=111295, 99=152959, 99.9=154751, 99.99=154751] 
2025-04-30 22:00:24:380 18 sec: 1752000 operations; 96000 current ops/sec; est completion in 4 minutes [INSERT: Count=96000, Max=129279, Min=52128, Avg=74681.17, 90=109183, 99=129279, 99.9=129279, 99.99=129279] 
2025-04-30 22:00:25:380 19 sec: 1854000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=148223, Min=47616, Avg=69840.78, 90=96703, 99=140031, 99.9=148223, 99.99=148223] 
2025-04-30 22:00:26:380 20 sec: 1954000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=115519, Min=51392, Avg=67112.16, 90=87231, 99=111679, 99.9=115519, 99.99=115519] 
2025-04-30 22:00:27:380 21 sec: 2054000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=162815, Min=47872, Avg=76380.64, 90=111167, 99=159999, 99.9=162815, 99.99=162815] 
2025-04-30 22:00:28:380 22 sec: 2152000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=211583, Min=47840, Avg=96769.8, 90=154111, 99=211583, 99.9=211583, 99.99=211583] 
2025-04-30 22:00:29:379 23 sec: 2256000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=164607, Min=53504, Avg=81541.85, 90=113471, 99=137343, 99.9=164607, 99.99=164607] 
2025-04-30 22:00:30:380 24 sec: 2353000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=157695, Min=51296, Avg=90397.03, 90=136959, 99=157695, 99.9=157695, 99.99=157695] 
2025-04-30 22:00:31:380 25 sec: 2451000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=152191, Min=52896, Avg=84231.67, 90=116735, 99=152191, 99.9=152191, 99.99=152191] 
2025-04-30 22:00:32:380 26 sec: 2555000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=196095, Min=51136, Avg=82254.46, 90=119871, 99=187007, 99.9=196095, 99.99=196095] 
2025-04-30 22:00:33:380 27 sec: 2653000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=137727, Min=48768, Avg=76039.35, 90=106815, 99=137727, 99.9=137727, 99.99=137727] 
2025-04-30 22:00:34:380 28 sec: 2753000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=134527, Min=52544, Avg=80134.88, 90=115007, 99=132735, 99.9=134527, 99.99=134527] 
2025-04-30 22:00:35:380 29 sec: 2853000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=216831, Min=45600, Avg=90014.24, 90=137087, 99=188287, 99.9=216831, 99.99=216831] 
2025-04-30 22:00:36:380 30 sec: 2954000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=173183, Min=52832, Avg=92206.89, 90=123775, 99=166143, 99.9=173183, 99.99=173183] 
2025-04-30 22:00:37:380 31 sec: 3051000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=176511, Min=52320, Avg=79051.55, 90=105983, 99=176511, 99.9=176511, 99.99=176511] 
2025-04-30 22:00:38:380 32 sec: 3156000 operations; 105000 current ops/sec; est completion in 4 minutes [INSERT: Count=105000, Max=192511, Min=50496, Avg=78203.58, 90=106303, 99=151679, 99.9=192511, 99.99=192511] 
2025-04-30 22:00:39:379 33 sec: 3254000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=112767, Min=52512, Avg=63544.49, 90=88831, 99=112767, 99.9=112767, 99.99=112767] 
2025-04-30 22:00:40:380 34 sec: 3354000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=112127, Min=45792, Avg=60668.16, 90=75519, 99=106943, 99.9=112127, 99.99=112127] 
2025-04-30 22:00:41:380 35 sec: 3457000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=174847, Min=47520, Avg=80335.38, 90=122239, 99=156927, 99.9=174847, 99.99=174847] 
2025-04-30 22:00:42:380 36 sec: 3552000 operations; 95000 current ops/sec; est completion in 4 minutes [INSERT: Count=95000, Max=156415, Min=50368, Avg=73688.76, 90=103807, 99=156415, 99.9=156415, 99.99=156415] 
2025-04-30 22:00:43:380 37 sec: 3654000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=177279, Min=47008, Avg=78883.92, 90=126911, 99=170239, 99.9=177279, 99.99=177279] 
2025-04-30 22:00:44:380 38 sec: 3752000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=130047, Min=52576, Avg=77798.04, 90=101119, 99=130047, 99.9=130047, 99.99=130047] 
2025-04-30 22:00:45:380 39 sec: 3853000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=136831, Min=49152, Avg=78414.73, 90=97471, 99=125119, 99.9=136831, 99.99=136831] 
2025-04-30 22:00:46:380 40 sec: 3954000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=156799, Min=49728, Avg=80793.19, 90=107455, 99=135551, 99.9=156799, 99.99=156799] 
2025-04-30 22:00:47:380 41 sec: 4053000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=135551, Min=52128, Avg=73540.85, 90=100095, 99=135551, 99.9=135551, 99.99=135551] 
2025-04-30 22:00:48:380 42 sec: 4155000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=200831, Min=48032, Avg=86985.57, 90=123647, 99=192511, 99.9=200831, 99.99=200831] 
2025-04-30 22:00:49:380 43 sec: 4254000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=164735, Min=53056, Avg=74892.28, 90=101183, 99=164735, 99.9=164735, 99.99=164735] 
2025-04-30 22:00:50:380 44 sec: 4353000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=141055, Min=50784, Avg=70747.64, 90=102399, 99=141055, 99.9=141055, 99.99=141055] 
2025-04-30 22:00:51:380 45 sec: 4455000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=165375, Min=48224, Avg=78345.41, 90=111999, 99=158207, 99.9=165375, 99.99=165375] 
2025-04-30 22:00:52:380 46 sec: 4553000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=160639, Min=51936, Avg=80138.61, 90=123071, 99=160639, 99.9=160639, 99.99=160639] 
2025-04-30 22:00:53:380 47 sec: 4650000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97647, Max=150911, Min=53376, Avg=85761.88, 90=126143, 99=150911, 99.9=150911, 99.99=150911] 
2025-04-30 22:00:54:380 48 sec: 4749000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=98353, Max=146303, Min=49664, Avg=94317.5, 90=129151, 99=146303, 99.9=146303, 99.99=146303] 
2025-04-30 22:00:55:380 49 sec: 4852000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=195583, Min=50336, Avg=101229.05, 90=146943, 99=185855, 99.9=195583, 99.99=195583] 
2025-04-30 22:00:56:380 50 sec: 4952000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=217215, Min=55104, Avg=125615.36, 90=185727, 99=212479, 99.9=217215, 99.99=217215] 
2025-04-30 22:00:57:380 51 sec: 5050000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=190847, Min=53504, Avg=99596.41, 90=132991, 99=190847, 99.9=190847, 99.99=190847] 
2025-04-30 22:00:58:380 52 sec: 5153000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=211711, Min=51776, Avg=104068.5, 90=154751, 99=201983, 99.9=211711, 99.99=211711] 
2025-04-30 22:00:59:380 53 sec: 5253000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=158847, Min=51424, Avg=91664.64, 90=127807, 99=156159, 99.9=158847, 99.99=158847] 
2025-04-30 22:01:00:380 54 sec: 5351000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=165247, Min=50272, Avg=83952.33, 90=125503, 99=165247, 99.9=165247, 99.99=165247] 
2025-04-30 22:01:01:380 55 sec: 5454000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=186751, Min=47520, Avg=88235.96, 90=127359, 99=182783, 99.9=186751, 99.99=186751] 
2025-04-30 22:01:02:380 56 sec: 5552000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=151423, Min=51136, Avg=87476.24, 90=129343, 99=151423, 99.9=151423, 99.99=151423] 
2025-04-30 22:01:03:380 57 sec: 5653000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=156031, Min=50880, Avg=96040.87, 90=135167, 99=149375, 99.9=156031, 99.99=156031] 
2025-04-30 22:01:04:380 58 sec: 5755000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=150399, Min=50016, Avg=90891.61, 90=124095, 99=140031, 99.9=150399, 99.99=150399] 
2025-04-30 22:01:05:381 59 sec: 5853000 operations; 97902.1 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=149887, Min=53472, Avg=78455.51, 90=106815, 99=149887, 99.9=149887, 99.99=149887] 
2025-04-30 22:01:06:380 60 sec: 5952000 operations; 99099.1 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=185983, Min=50464, Avg=96882.75, 90=147071, 99=185983, 99.9=185983, 99.99=185983] 
2025-04-30 22:01:07:380 61 sec: 6053000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=159871, Min=51712, Avg=81566.1, 90=118591, 99=143999, 99.9=159871, 99.99=159871] 
