2025-05-01 03:54:22:808 16 sec: 1868000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72575, Min=32864, Avg=55894.8, 90=68095, 99=72127, 99.9=72575, 99.99=72575] 
2025-05-01 03:54:23:808 17 sec: 1986000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=75647, Min=32768, Avg=54043.66, 90=62655, 99=74687, 99.9=75647, 99.99=75647] 
2025-05-01 03:54:24:808 18 sec: 2110000 operations; 124000 current ops/sec; est completion in 3 minutes [INSERT: Count=124000, Max=83391, Min=34144, Avg=52205.42, 90=63967, 99=81087, 99.9=83391, 99.99=83391] 
2025-05-01 03:54:25:808 19 sec: 2228000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=71487, Min=34816, Avg=46156.34, 90=60863, 99=69439, 99.9=71487, 99.99=71487] 
2025-05-01 03:54:26:808 20 sec: 2348000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=75071, Min=31344, Avg=50444.8, 90=61311, 99=74431, 99.9=75071, 99.99=75071] 
2025-05-01 03:54:27:808 21 sec: 2468000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=81983, Min=32896, Avg=52464, 90=65503, 99=81407, 99.9=81983, 99.99=81983] 
2025-05-01 03:54:28:808 22 sec: 2588000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=70911, Min=32864, Avg=46179.07, 90=57727, 99=69567, 99.9=70911, 99.99=70911] 
2025-05-01 03:54:29:809 23 sec: 2709000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=72063, Min=40768, Avg=52763.37, 90=61631, 99=71743, 99.9=72063, 99.99=72063] 
2025-05-01 03:54:30:808 24 sec: 2828000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=70079, Min=34144, Avg=47934.39, 90=57823, 99=67327, 99.9=70079, 99.99=70079] 
2025-05-01 03:54:31:808 25 sec: 2948000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=75007, Min=35712, Avg=51582, 90=67775, 99=74623, 99.9=75007, 99.99=75007] 
2025-05-01 03:54:32:808 26 sec: 3070000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=71423, Min=33408, Avg=52607.74, 90=60543, 99=71103, 99.9=71423, 99.99=71423] 
2025-05-01 03:54:33:808 27 sec: 3190000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=70399, Min=32416, Avg=47128.73, 90=62495, 99=70271, 99.9=70399, 99.99=70399] 
2025-05-01 03:54:34:808 28 sec: 3307000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=81855, Min=31728, Avg=54894.29, 90=69695, 99=80639, 99.9=81855, 99.99=81855] 
2025-05-01 03:54:35:808 29 sec: 3429000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=77503, Min=32928, Avg=58992, 90=66303, 99=77247, 99.9=77503, 99.99=77503] 
2025-05-01 03:54:36:808 30 sec: 3549000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=75455, Min=33920, Avg=56011.2, 90=65311, 99=75263, 99.9=75455, 99.99=75455] 
