field_length,request_count,avg_latency,p90,p99,p999,KOPS,duration
4096,1000000,153.0963,158.24,165.09,179.95,6.51985,153.378
8192,1000000,163.411,177.7,179.82,239.24,6.10928,163.685
16384,1000000,181.9464,195.44,199.75,893.22,5.48786,182.221
32768,1000000,242.2163,245.94,1476.12,2464.62,4.12344,242.516
65536,1000000,501.7944,348.61,4885.6,5338.52,1.99129,502.186
131072,1000000,1120.6847,598.16,8985.76,11732.48,0.891962,1121.12
262144,1000000,2448.5757,16114.62,21044.77,24941.55,0.408323,2449.04
