request_size,request_count,avg_latency,p90,p99,p999,QPS,eplased_time,throughput,avg_cpu_util
4096,26214400,30.09,31.49,34.88,40.69,6.54,4007.4,25.55,174.76
8192,13107200,32.69,34.69,38.37,64.14,6.17,2125.53,48.18,183.64
16384,6553600,39.4,40.91,45.82,515.4,5.53,1186.02,86.34,200.4
32768,3276800,68.5,56.37,880.99,2176.17,4.29,763.86,134.06,202.56
65536,1638400,188.89,88.17,4295.86,5556.17,2.34,700.58,146.17,188.93
131072,819200,425.64,150.78,8571.01,12761.33,1.23,667.81,153.34,181.15
262144,409600,1117.75,278.73,20223.74,30751.73,0.62,657.42,155.76,175.61
