request_size,request_count,avg_latency,p90,p99,p999,QPS,eplased_time,throughput,avg_cpu_util
4096,1000000,30.2,31.62,34.8,41.72,6.52,153.38,25.47,174.61
8192,1000000,32.82,34.85,38.24,96.35,6.11,163.69,47.73,185.44
16384,1000000,39.87,39.77,44.85,743.68,5.49,182.22,85.75,203.36
32768,1000000,77.08,51.81,1312.89,2165.91,4.12,242.52,128.86,205.33
65536,1000000,257.09,87.2,4299.38,5340.25,1.99,502.19,124.46,185.29
131072,1000000,731.23,158.67,8592.47,10671.1,0.89,1121.12,111.5,171.5
262144,1000000,1966.71,16010.93,20235.03,21054.63,0.41,2449.04,102.08,166.06
