2025-04-30 09:50:43:114 16 sec: 1866000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=106175, Min=48768, Avg=70775.73, 90=87935, 99=104255, 99.9=106175, 99.99=106175] 
2025-04-30 09:50:44:114 17 sec: 1986000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=104703, Min=47200, Avg=67714.8, 90=84479, 99=101439, 99.9=104703, 99.99=104703] 
2025-04-30 09:50:45:114 18 sec: 2107000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=93951, Min=50848, Avg=66480.4, 90=85951, 99=92095, 99.9=93951, 99.99=93951] 
2025-04-30 09:50:46:114 19 sec: 2228000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=110527, Min=46752, Avg=66879.34, 90=88255, 99=109951, 99.9=110527, 99.99=110527] 
2025-04-30 09:50:47:114 20 sec: 2349000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=101823, Min=46784, Avg=66602.71, 90=83007, 99=100479, 99.9=101823, 99.99=101823] 
2025-04-30 09:50:48:114 21 sec: 2469000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=94015, Min=41920, Avg=64348.8, 90=83007, 99=91967, 99.9=94015, 99.99=94015] 
2025-04-30 09:50:49:114 22 sec: 2585000 operations; 116000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=98431, Min=48800, Avg=63104, 90=83135, 99=98111, 99.9=98431, 99.99=98431] 
2025-04-30 09:50:50:114 23 sec: 2709000 operations; 124000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=107007, Min=46400, Avg=70184.33, 90=89663, 99=105343, 99.9=107007, 99.99=107007] 
2025-04-30 09:50:51:114 24 sec: 2829000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=101503, Min=43808, Avg=63896.13, 90=80639, 99=97407, 99.9=101503, 99.99=101503] 
2025-04-30 09:50:52:114 25 sec: 2944000 operations; 115000 current ops/sec; est completion in 3 minutes [INSERT: Count=115000, Max=100991, Min=49792, Avg=68430.75, 90=89343, 99=98751, 99.9=100991, 99.99=100991] 
2025-04-30 09:50:53:114 26 sec: 3067000 operations; 123000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=103807, Min=47008, Avg=64683.06, 90=85183, 99=103039, 99.9=103807, 99.99=103807] 
2025-04-30 09:50:54:114 27 sec: 3185000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=99647, Min=48192, Avg=65533.02, 90=87743, 99=95999, 99.9=99647, 99.99=99647] 
2025-04-30 09:50:55:114 28 sec: 3308000 operations; 123000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=106303, Min=46592, Avg=67064.2, 90=89727, 99=102399, 99.9=106303, 99.99=106303] 
2025-04-30 09:50:56:114 29 sec: 3425000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=96511, Min=49856, Avg=65855.86, 90=88895, 99=96383, 99.9=96511, 99.99=96511] 
2025-04-30 09:50:57:114 30 sec: 3547000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=114303, Min=44736, Avg=70050.36, 90=88127, 99=111935, 99.9=114303, 99.99=114303] 
2025-04-30 09:50:58:114 31 sec: 3669000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=108863, Min=46496, Avg=70538.1, 90=92799, 99=108287, 99.9=108863, 99.99=108863] 
2025-04-30 09:50:59:114 32 sec: 3789000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=104767, Min=44384, Avg=65393.47, 90=83775, 99=104511, 99.9=104767, 99.99=104767] 
2025-04-30 09:51:00:114 33 sec: 3907000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=87871, Min=50368, Avg=65534.92, 90=81983, 99=87871, 99.9=87871, 99.99=87871] 
2025-04-30 09:51:01:114 34 sec: 4029000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=97151, Min=45472, Avg=60433.85, 90=74943, 99=95487, 99.9=97151, 99.99=97151] 
2025-04-30 09:51:02:114 35 sec: 4148000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=103999, Min=47264, Avg=63673.82, 90=82431, 99=95743, 99.9=103999, 99.99=103999] 
2025-04-30 09:51:03:114 36 sec: 4269000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=100991, Min=46400, Avg=67964.43, 90=84415, 99=99455, 99.9=100991, 99.99=100991] 
2025-04-30 09:51:04:114 37 sec: 4389000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=86783, Min=49408, Avg=65284.27, 90=82559, 99=85631, 99.9=86783, 99.99=86783] 
2025-04-30 09:51:05:114 38 sec: 4508000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=103167, Min=46112, Avg=64489.55, 90=86783, 99=98367, 99.9=103167, 99.99=103167] 
2025-04-30 09:51:06:114 39 sec: 4627000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=101887, Min=44864, Avg=65759.6, 90=89663, 99=100159, 99.9=101887, 99.99=101887] 
2025-04-30 09:51:07:114 40 sec: 4746000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=99839, Min=46176, Avg=71459.76, 90=91903, 99=99391, 99.9=99839, 99.99=99839] 
2025-04-30 09:51:08:114 41 sec: 4864000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=109439, Min=46816, Avg=71694.92, 90=96383, 99=108159, 99.9=109439, 99.99=109439] 
2025-04-30 09:51:09:114 42 sec: 4985000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=113791, Min=44032, Avg=71033.79, 90=97087, 99=109503, 99.9=113791, 99.99=113791] 
2025-04-30 09:51:10:114 43 sec: 5107000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=102783, Min=43840, Avg=67232.52, 90=93247, 99=101631, 99.9=102783, 99.99=102783] 
2025-04-30 09:51:11:114 44 sec: 5224000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=97855, Min=50528, Avg=64835.42, 90=92287, 99=97791, 99.9=97855, 99.99=97855] 
2025-04-30 09:51:12:114 45 sec: 5346000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=110399, Min=43072, Avg=62776, 90=91839, 99=109887, 99.9=110399, 99.99=110399] 
2025-04-30 09:51:13:114 46 sec: 5465000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=107263, Min=43968, Avg=64287.19, 90=95807, 99=106047, 99.9=107263, 99.99=107263] 
2025-04-30 09:51:14:114 47 sec: 5588000 operations; 123000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=101503, Min=46720, Avg=66162.73, 90=87103, 99=99519, 99.9=101503, 99.99=101503] 
2025-04-30 09:51:15:114 48 sec: 5707000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=92863, Min=50944, Avg=61911.66, 90=76095, 99=92543, 99.9=92863, 99.99=92863] 
2025-04-30 09:51:16:114 49 sec: 5826000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=103807, Min=45696, Avg=62166.72, 90=83071, 99=102847, 99.9=103807, 99.99=103807] 
2025-04-30 09:51:17:114 50 sec: 5948000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=104255, Min=45984, Avg=65079.34, 90=88703, 99=102655, 99.9=104255, 99.99=104255] 
