2025-04-30 15:13:51:724 39 sec: 3856000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=166271, Min=45888, Avg=68600.08, 90=99711, 99=164223, 99.9=166271, 99.99=166271] 
2025-04-30 15:13:52:724 40 sec: 3955000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=139391, Min=47520, Avg=69519.84, 90=107775, 99=139391, 99.9=139391, 99.99=139391] 
2025-04-30 15:13:53:724 41 sec: 4054000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=156543, Min=51968, Avg=67034.02, 90=89151, 99=156543, 99.9=156543, 99.99=156543] 
2025-04-30 15:13:54:724 42 sec: 4154000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=174335, Min=49952, Avg=80729.76, 90=111679, 99=173183, 99.9=174335, 99.99=174335] 
2025-04-30 15:13:55:724 43 sec: 4252000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=154751, Min=52544, Avg=85850.29, 90=129407, 99=154751, 99.9=154751, 99.99=154751] 
2025-04-30 15:13:56:724 44 sec: 4352000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=199423, Min=49408, Avg=81776.16, 90=112383, 99=180351, 99.9=199423, 99.99=199423] 
2025-04-30 15:13:57:724 45 sec: 4457000 operations; 105000 current ops/sec; est completion in 3 minutes [INSERT: Count=105000, Max=206463, Min=50528, Avg=91121.52, 90=137983, 99=191615, 99.9=206463, 99.99=206463] 
2025-04-30 15:13:58:724 46 sec: 4554000 operations; 97000 current ops/sec; est completion in 3 minutes [INSERT: Count=97000, Max=138623, Min=51872, Avg=81361.32, 90=111039, 99=138623, 99.9=138623, 99.99=138623] 
2025-04-30 15:13:59:724 47 sec: 4653000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=143743, Min=48192, Avg=75194.83, 90=103935, 99=143743, 99.9=143743, 99.99=143743] 
2025-04-30 15:14:00:724 48 sec: 4753000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=154879, Min=53728, Avg=79069.28, 90=122815, 99=152319, 99.9=154879, 99.99=154879] 
2025-04-30 15:14:01:724 49 sec: 4852000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=129535, Min=48960, Avg=75170.75, 90=108607, 99=129535, 99.9=129535, 99.99=129535] 
2025-04-30 15:14:02:724 50 sec: 4953000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=231935, Min=52000, Avg=107367.76, 90=175487, 99=226687, 99.9=231935, 99.99=231935] 
2025-04-30 15:14:03:724 51 sec: 5053000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=131967, Min=52000, Avg=71892.32, 90=102527, 99=129279, 99.9=131967, 99.99=131967] 
2025-04-30 15:14:04:724 52 sec: 5154000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=141567, Min=44640, Avg=72813.31, 90=111231, 99=140159, 99.9=141567, 99.99=141567] 
2025-04-30 15:14:05:724 53 sec: 5251000 operations; 97000 current ops/sec; est completion in 3 minutes [INSERT: Count=97000, Max=152191, Min=48544, Avg=79069.03, 90=124287, 99=152191, 99.9=152191, 99.99=152191] 
2025-04-30 15:14:06:724 54 sec: 5356000 operations; 105000 current ops/sec; est completion in 3 minutes [INSERT: Count=105000, Max=191615, Min=50976, Avg=71364.42, 90=100223, 99=138367, 99.9=191615, 99.99=191615] 
2025-04-30 15:14:07:724 55 sec: 5451000 operations; 95000 current ops/sec; est completion in 3 minutes [INSERT: Count=95000, Max=179839, Min=50528, Avg=82048.51, 90=131711, 99=179839, 99.9=179839, 99.99=179839] 
2025-04-30 15:14:08:724 56 sec: 5553000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=179071, Min=54944, Avg=93865.57, 90=152575, 99=178559, 99.9=179071, 99.99=179071] 
2025-04-30 15:14:09:724 57 sec: 5653000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=176895, Min=47360, Avg=78025.44, 90=120383, 99=166655, 99.9=176895, 99.99=176895] 
2025-04-30 15:14:10:724 58 sec: 5752000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=163839, Min=50368, Avg=87448.89, 90=134399, 99=163839, 99.9=163839, 99.99=163839] 
2025-04-30 15:14:11:724 59 sec: 5853000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=174335, Min=49728, Avg=80428.04, 90=117055, 99=148607, 99.9=174335, 99.99=174335] 
2025-04-30 15:14:12:724 60 sec: 5953000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=171263, Min=48864, Avg=87820.96, 90=130943, 99=169215, 99.9=171263, 99.99=171263] 
2025-04-30 15:14:13:724 61 sec: 6051000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=135551, Min=51392, Avg=80644.08, 90=105791, 99=135551, 99.9=135551, 99.99=135551] 
2025-04-30 15:14:14:724 62 sec: 6151000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=178687, Min=49248, Avg=85556, 90=139903, 99=167039, 99.9=178687, 99.99=178687] 
2025-04-30 15:14:15:724 63 sec: 6255000 operations; 104000 current ops/sec; est completion in 3 minutes [INSERT: Count=105000, Max=147455, Min=50880, Avg=82009.3, 90=116735, 99=135807, 99.9=147455, 99.99=147455] 
2025-04-30 15:14:16:724 64 sec: 6352000 operations; 97000 current ops/sec; est completion in 3 minutes [INSERT: Count=96000, Max=156543, Min=52192, Avg=90141.17, 90=133119, 99=156543, 99.9=156543, 99.99=156543] 
2025-04-30 15:14:17:724 65 sec: 6453000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=177535, Min=49504, Avg=97481.19, 90=147583, 99=176895, 99.9=177535, 99.99=177535] 
2025-04-30 15:14:18:724 66 sec: 6552000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=272895, Min=52896, Avg=96504.57, 90=144127, 99=272895, 99.9=272895, 99.99=272895] 
2025-04-30 15:14:19:724 67 sec: 6655000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=201215, Min=47104, Avg=79058.17, 90=118399, 99=155263, 99.9=201215, 99.99=201215] 
2025-04-30 15:14:20:724 68 sec: 6754000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=141311, Min=48832, Avg=77549.9, 90=119167, 99=141311, 99.9=141311, 99.99=141311] 
2025-04-30 15:14:21:724 69 sec: 6854000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=149887, Min=49920, Avg=72299.04, 90=97215, 99=125759, 99.9=149887, 99.99=149887] 
2025-04-30 15:14:22:724 70 sec: 6954000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=167295, Min=47360, Avg=81642.24, 90=115839, 99=136831, 99.9=167295, 99.99=167295] 
2025-04-30 15:14:23:724 71 sec: 7052000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=158847, Min=51808, Avg=89988.9, 90=131071, 99=158847, 99.9=158847, 99.99=158847] 
2025-04-30 15:14:24:724 72 sec: 7154000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=155647, Min=50624, Avg=78901.49, 90=119231, 99=154367, 99.9=155647, 99.99=155647] 
2025-04-30 15:14:25:724 73 sec: 7253000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=189951, Min=47136, Avg=84364.93, 90=134911, 99=189951, 99.9=189951, 99.99=189951] 
2025-04-30 15:14:26:724 74 sec: 7351000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=138239, Min=52000, Avg=82121.47, 90=106559, 99=138239, 99.9=138239, 99.99=138239] 
2025-04-30 15:14:27:724 75 sec: 7454000 operations; 103000 current ops/sec; est completion in 2 minutes [INSERT: Count=103000, Max=201855, Min=50528, Avg=96674.33, 90=151039, 99=199935, 99.9=201855, 99.99=201855] 
2025-04-30 15:14:28:724 76 sec: 7554000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=186623, Min=48032, Avg=77957.76, 90=106495, 99=152319, 99.9=186623, 99.99=186623] 
2025-04-30 15:14:29:724 77 sec: 7655000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=101000, Max=115263, Min=50816, Avg=65442.53, 90=83391, 99=107199, 99.9=115263, 99.99=115263] 
2025-04-30 15:14:30:724 78 sec: 7754000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=237567, Min=46848, Avg=79509.17, 90=119103, 99=237567, 99.9=237567, 99.99=237567] 
2025-04-30 15:14:31:724 79 sec: 7850000 operations; 96000 current ops/sec; est completion in 2 minutes [INSERT: Count=96000, Max=187647, Min=54432, Avg=95928.33, 90=139135, 99=187647, 99.9=187647, 99.99=187647] 
2025-04-30 15:14:32:724 80 sec: 7955000 operations; 105000 current ops/sec; est completion in 2 minutes [INSERT: Count=105000, Max=143999, Min=51264, Avg=83058.9, 90=115903, 99=141567, 99.9=143999, 99.99=143999] 
2025-04-30 15:14:33:724 81 sec: 8054000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=155007, Min=44992, Avg=69338.34, 90=98687, 99=155007, 99.9=155007, 99.99=155007] 
2025-04-30 15:14:34:724 82 sec: 8156000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=125119, Min=51296, Avg=62357.18, 90=84927, 99=122559, 99.9=125119, 99.99=125119] 
2025-04-30 15:14:35:724 83 sec: 8254000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=130751, Min=46368, Avg=68910.2, 90=103039, 99=130751, 99.9=130751, 99.99=130751] 
2025-04-30 15:14:36:724 84 sec: 8350000 operations; 96000 current ops/sec; est completion in 2 minutes [INSERT: Count=96000, Max=157823, Min=50560, Avg=84296.17, 90=120831, 99=157823, 99.9=157823, 99.99=157823] 
2025-04-30 15:14:37:724 85 sec: 8452000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=165887, Min=52896, Avg=95232.63, 90=130559, 99=159743, 99.9=165887, 99.99=165887] 
2025-04-30 15:14:38:724 86 sec: 8555000 operations; 103000 current ops/sec; est completion in 2 minutes [INSERT: Count=103000, Max=186623, Min=50016, Avg=95016.85, 90=141183, 99=184703, 99.9=186623, 99.99=186623] 
2025-04-30 15:14:39:724 87 sec: 8650000 operations; 95000 current ops/sec; est completion in 2 minutes [INSERT: Count=95000, Max=163327, Min=52000, Avg=88590.82, 90=134399, 99=163327, 99.9=163327, 99.99=163327] 
2025-04-30 15:14:40:724 88 sec: 8754000 operations; 104000 current ops/sec; est completion in 2 minutes [INSERT: Count=104000, Max=178431, Min=49472, Avg=103969.38, 90=146815, 99=177023, 99.9=178431, 99.99=178431] 
2025-04-30 15:14:41:724 89 sec: 8852000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=177919, Min=49696, Avg=88505.63, 90=135167, 99=177919, 99.9=177919, 99.99=177919] 
2025-04-30 15:14:42:724 90 sec: 8952000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=179583, Min=49184, Avg=87085.28, 90=134399, 99=171775, 99.9=179583, 99.99=179583] 
2025-04-30 15:14:43:724 91 sec: 9054000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=239231, Min=45728, Avg=102150.27, 90=153855, 99=226303, 99.9=239231, 99.99=239231] 
2025-04-30 15:14:44:724 92 sec: 9150000 operations; 96000 current ops/sec; est completion in 2 minutes [INSERT: Count=96000, Max=161279, Min=51520, Avg=86413.67, 90=132863, 99=161279, 99.9=161279, 99.99=161279] 
2025-04-30 15:14:45:724 93 sec: 9254000 operations; 104000 current ops/sec; est completion in 2 minutes [INSERT: Count=104000, Max=253439, Min=53536, Avg=102111.54, 90=161791, 99=244351, 99.9=253439, 99.99=253439] 
2025-04-30 15:14:46:724 94 sec: 9351000 operations; 97000 current ops/sec; est completion in 2 minutes [INSERT: Count=97000, Max=211455, Min=48480, Avg=89867.22, 90=135423, 99=211455, 99.9=211455, 99.99=211455] 
2025-04-30 15:14:47:724 95 sec: 9455000 operations; 104000 current ops/sec; est completion in 2 minutes [INSERT: Count=104000, Max=152831, Min=50720, Avg=75694.31, 90=105087, 99=146815, 99.9=152831, 99.99=152831] 
2025-04-30 15:14:48:724 96 sec: 9553000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=211199, Min=49536, Avg=88232.98, 90=136703, 99=211199, 99.9=211199, 99.99=211199] 
2025-04-30 15:14:49:724 97 sec: 9648000 operations; 95000 current ops/sec; est completion in 2 minutes [INSERT: Count=95000, Max=193407, Min=52032, Avg=99472.84, 90=164735, 99=193407, 99.9=193407, 99.99=193407] 
2025-04-30 15:14:50:724 98 sec: 9749000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=101000, Max=248063, Min=55584, Avg=123482.46, 90=180863, 99=246015, 99.9=248063, 99.99=248063] 
2025-04-30 15:14:51:724 99 sec: 9853000 operations; 104000 current ops/sec; est completion in 2 minutes [INSERT: Count=104000, Max=188159, Min=49504, Avg=93814.77, 90=154239, 99=180479, 99.9=188159, 99.99=188159] 
2025-04-30 15:14:52:724 100 sec: 9950000 operations; 97000 current ops/sec; est completion in 2 minutes [INSERT: Count=97000, Max=137599, Min=50336, Avg=77486.02, 90=113087, 99=137599, 99.9=137599, 99.99=137599] 
2025-04-30 15:14:53:724 101 sec: 10055000 operations; 105000 current ops/sec; est completion in 2 minutes [INSERT: Count=105000, Max=188799, Min=52288, Avg=99006.63, 90=139007, 99=179839, 99.9=188799, 99.99=188799] 
2025-04-30 15:14:54:724 102 sec: 10146000 operations; 91000 current ops/sec; est completion in 2 minutes [INSERT: Count=91000, Max=162943, Min=53248, Avg=86531.87, 90=116927, 99=162943, 99.9=162943, 99.99=162943] 
2025-04-30 15:14:55:724 103 sec: 10254000 operations; 108000 current ops/sec; est completion in 2 minutes [INSERT: Count=108000, Max=238335, Min=50272, Avg=87773.19, 90=147071, 99=202239, 99.9=238335, 99.99=238335] 
2025-04-30 15:14:56:724 104 sec: 10354000 operations; 100000 current ops/sec; est completion in 2 minutes [INSERT: Count=100000, Max=186239, Min=47520, Avg=74320.32, 90=107391, 99=150399, 99.9=186239, 99.99=186239] 
2025-04-30 15:14:57:724 105 sec: 10452000 operations; 98000 current ops/sec; est completion in 2 minutes [INSERT: Count=98000, Max=172543, Min=50272, Avg=66231.35, 90=88831, 99=172543, 99.9=172543, 99.99=172543] 
2025-04-30 15:14:58:724 106 sec: 10556000 operations; 104000 current ops/sec; est completion in 2 minutes [INSERT: Count=104000, Max=171263, Min=48192, Avg=71587.38, 90=110399, 99=150527, 99.9=171263, 99.99=171263] 
2025-04-30 15:14:59:724 107 sec: 10650000 operations; 94000 current ops/sec; est completion in 2 minutes [INSERT: Count=94000, Max=180095, Min=52768, Avg=82903.32, 90=135551, 99=180095, 99.9=180095, 99.99=180095] 
2025-04-30 15:15:00:724 108 sec: 10753000 operations; 103000 current ops/sec; est completion in 2 minutes [INSERT: Count=103000, Max=188799, Min=52768, Avg=78341.13, 90=119551, 99=164735, 99.9=188799, 99.99=188799] 
2025-04-30 15:15:01:724 109 sec: 10855000 operations; 102000 current ops/sec; est completion in 2 minutes [INSERT: Count=102000, Max=220287, Min=44512, Avg=79320.31, 90=118527, 99=174463, 99.9=220287, 99.99=220287] 
2025-04-30 15:15:02:724 110 sec: 10951000 operations; 96000 current ops/sec; est completion in 2 minutes [INSERT: Count=96000, Max=188799, Min=52544, Avg=85370.17, 90=123711, 99=188799, 99.9=188799, 99.99=188799] 
2025-04-30 15:15:03:724 111 sec: 11052000 operations; 101000 current ops/sec; est completion in 2 minutes [INSERT: Count=101000, Max=167679, Min=46336, Avg=79591.13, 90=118719, 99=160255, 99.9=167679, 99.99=167679] 
2025-04-30 15:15:04:724 112 sec: 11151000 operations; 99000 current ops/sec; est completion in 2 minutes [INSERT: Count=99000, Max=196863, Min=51296, Avg=108868.53, 90=158207, 99=196863, 99.9=196863, 99.99=196863] 
