2025-05-01 03:02:07:533 16 sec: 1872000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=76543, Min=31664, Avg=52990.07, 90=63839, 99=74943, 99.9=76543, 99.99=76543] 
2025-05-01 03:02:08:533 17 sec: 1992000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=73407, Min=33248, Avg=51016.8, 90=61919, 99=71103, 99.9=73407, 99.99=73407] 
2025-05-01 03:02:09:533 18 sec: 2112000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72895, Min=35328, Avg=49189.07, 90=59615, 99=71231, 99.9=72895, 99.99=72895] 
2025-05-01 03:02:10:533 19 sec: 2232000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=77823, Min=33280, Avg=50012.93, 90=61183, 99=77247, 99.9=77823, 99.99=77823] 
2025-05-01 03:02:11:533 20 sec: 2352000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=78399, Min=33216, Avg=56155.07, 90=65727, 99=78079, 99.9=78399, 99.99=78399] 
2025-05-01 03:02:12:533 21 sec: 2471000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=85119, Min=32992, Avg=57245.58, 90=72575, 99=85119, 99.9=85119, 99.99=85119] 
2025-05-01 03:02:13:533 22 sec: 2590000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=74815, Min=34752, Avg=56711.66, 90=66687, 99=74239, 99.9=74815, 99.99=74815] 
2025-05-01 03:02:14:533 23 sec: 2710000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=75071, Min=34464, Avg=53523.33, 90=62559, 99=72895, 99.9=75071, 99.99=75071] 
2025-05-01 03:02:15:533 24 sec: 2830000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=78271, Min=33888, Avg=45287.33, 90=55935, 99=73919, 99.9=78271, 99.99=78271] 
2025-05-01 03:02:16:533 25 sec: 2952000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=71423, Min=32592, Avg=43678.49, 90=57727, 99=71295, 99.9=71423, 99.99=71423] 
2025-05-01 03:02:17:533 26 sec: 3072000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=75135, Min=31872, Avg=45145.07, 90=56543, 99=72383, 99.9=75135, 99.99=75135] 
2025-05-01 03:02:18:533 27 sec: 3191000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=67711, Min=33664, Avg=45522.42, 90=58751, 99=65919, 99.9=67711, 99.99=67711] 
2025-05-01 03:02:19:533 28 sec: 3310000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=85055, Min=33376, Avg=52501.51, 90=64959, 99=84415, 99.9=85055, 99.99=85055] 
2025-05-01 03:02:20:533 29 sec: 3431000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=70719, Min=35840, Avg=48218.31, 90=60095, 99=69887, 99.9=70719, 99.99=70719] 
2025-05-01 03:02:21:533 30 sec: 3551000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72639, Min=32368, Avg=45752.07, 90=58111, 99=69567, 99.9=72639, 99.99=72639] 
2025-05-01 03:02:22:533 31 sec: 3670000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=70335, Min=32176, Avg=48324.37, 90=60767, 99=69503, 99.9=70335, 99.99=70335] 
2025-05-01 03:02:23:533 32 sec: 3790000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=71103, Min=34112, Avg=52140.27, 90=63359, 99=68927, 99.9=71103, 99.99=71103] 
2025-05-01 03:02:24:533 33 sec: 3910000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74495, Min=32688, Avg=51739.13, 90=61599, 99=74367, 99.9=74495, 99.99=74495] 
2025-05-01 03:02:25:533 34 sec: 4028000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=73407, Min=31712, Avg=49214.44, 90=59327, 99=72383, 99.9=73407, 99.99=73407] 
2025-05-01 03:02:26:533 35 sec: 4151000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=74239, Min=33952, Avg=51700.81, 90=61951, 99=73279, 99.9=74239, 99.99=74239] 
2025-05-01 03:02:27:533 36 sec: 4269000 operations; 118000 current ops/sec; est completion in 2 minutes [INSERT: Count=118000, Max=73471, Min=34656, Avg=51578.31, 90=61279, 99=72703, 99.9=73471, 99.99=73471] 
2025-05-01 03:02:28:533 37 sec: 4389000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=72703, Min=35680, Avg=56748.93, 90=64575, 99=71807, 99.9=72703, 99.99=72703] 
2025-05-01 03:02:29:533 38 sec: 4508000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=79935, Min=34976, Avg=58540.77, 90=67583, 99=79615, 99.9=79935, 99.99=79935] 
2025-05-01 03:02:30:533 39 sec: 4630000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=79935, Min=34016, Avg=59800.66, 90=68223, 99=79167, 99.9=79935, 99.99=79935] 
2025-05-01 03:02:31:533 40 sec: 4750000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=72063, Min=38272, Avg=53072.13, 90=60959, 99=70463, 99.9=72063, 99.99=72063] 
2025-05-01 03:02:32:533 41 sec: 4870000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73663, Min=32448, Avg=51116.33, 90=61887, 99=70847, 99.9=73663, 99.99=73663] 
