field_length,request_count,avg_latency,p90,p99,p999,KOPS,duration
4096,26214400,151.7139,158.19,160.53,179.26,6.57977,3984.09
8192,13107200,161.1397,176.87,179.76,194.05,6.19531,2115.66
16384,6553600,177.3067,188.97,199.07,224.21,5.63126,1163.79
32768,3276800,212.594,245.32,249.85,296.17,4.69726,697.598
65536,1638400,311.3414,345.82,383.44,430.09,3.20849,510.645
131072,819200,544.629,590.54,649.64,743.16,1.83467,446.51
262144,409600,1346.2502,794.0,17978.14,42618.28,0.742572,551.596
