2025-08-10 22:00:28:016 17 sec: 18158 operations; 1136 current ops/sec; est completion in 46 minutes [INSERT: Count=1136, Max=3043, Min=713, Avg=872.68, 90=907, 99=947, 99.9=1004, 99.99=3043] 
2025-08-10 22:00:29:016 18 sec: 19295 operations; 1137 current ops/sec; est completion in 46 minutes [INSERT: Count=1137, Max=2187, Min=673, Avg=872.55, 90=908, 99=944, 99.9=1009, 99.99=2187] 
2025-08-10 22:00:30:016 19 sec: 20434 operations; 1139 current ops/sec; est completion in 46 minutes [INSERT: Count=1139, Max=1131, Min=663, Avg=870.79, 90=909, 99=949, 99.9=1028, 99.99=1131] 
2025-08-10 22:00:31:016 20 sec: 21575 operations; 1141 current ops/sec; est completion in 46 minutes [INSERT: Count=1141, Max=957, Min=727, Avg=870, 90=906, 99=940, 99.9=955, 99.99=957] 
2025-08-10 22:00:32:016 21 sec: 22713 operations; 1138 current ops/sec; est completion in 45 minutes [INSERT: Count=1138, Max=991, Min=653, Avg=872.25, 90=910, 99=945, 99.9=967, 99.99=991] 
2025-08-10 22:00:33:016 22 sec: 23850 operations; 1137 current ops/sec; est completion in 45 minutes [INSERT: Count=1137, Max=996, Min=712, Avg=872.4, 90=908, 99=941, 99.9=951, 99.99=996] 
2025-08-10 22:00:34:016 23 sec: 24988 operations; 1138 current ops/sec; est completion in 45 minutes [INSERT: Count=1138, Max=1095, Min=668, Avg=871.63, 90=907, 99=952, 99.9=1081, 99.99=1095] 
2025-08-10 22:00:35:016 24 sec: 26127 operations; 1139 current ops/sec; est completion in 45 minutes [INSERT: Count=1139, Max=1006, Min=718, Avg=871.32, 90=908, 99=947, 99.9=986, 99.99=1006] 
2025-08-10 22:00:36:016 25 sec: 27258 operations; 1131 current ops/sec; est completion in 45 minutes [INSERT: Count=1131, Max=1062, Min=747, Avg=876.13, 90=915, 99=944, 99.9=1027, 99.99=1062] 
2025-08-10 22:00:37:016 26 sec: 28387 operations; 1129 current ops/sec; est completion in 45 minutes [INSERT: Count=1129, Max=1866, Min=677, Avg=878.24, 90=918, 99=974, 99.9=1440, 99.99=1866] 
2025-08-10 22:00:38:016 27 sec: 29502 operations; 1115 current ops/sec; est completion in 45 minutes [INSERT: Count=1115, Max=1433, Min=731, Avg=889.2, 90=927, 99=970, 99.9=1255, 99.99=1433] 
2025-08-10 22:00:39:016 28 sec: 30620 operations; 1118 current ops/sec; est completion in 45 minutes [INSERT: Count=1118, Max=3023, Min=652, Avg=885.59, 90=919, 99=961, 99.9=1002, 99.99=3023] 
