2025-08-10 22:44:48:903 17 sec: 17227 operations; 1088 current ops/sec; est completion in 49 minutes [INSERT: Count=1087, Max=3443, Min=734, Avg=911.25, 90=949, 99=1006, 99.9=1157, 99.99=3443] 
2025-08-10 22:44:49:903 18 sec: 18320 operations; 1093 current ops/sec; est completion in 48 minutes [INSERT: Count=1093, Max=1069, Min=796, Avg=906.8, 90=946, 99=982, 99.9=1024, 99.99=1069] 
2025-08-10 22:44:50:903 19 sec: 19411 operations; 1091 current ops/sec; est completion in 48 minutes [INSERT: Count=1091, Max=1034, Min=828, Avg=908.99, 90=945, 99=981, 99.9=1026, 99.99=1034] 
2025-08-10 22:44:51:903 20 sec: 20501 operations; 1090 current ops/sec; est completion in 48 minutes [INSERT: Count=1090, Max=1045, Min=781, Avg=908.35, 90=947, 99=996, 99.9=1025, 99.99=1045] 
2025-08-10 22:44:52:903 21 sec: 21584 operations; 1083 current ops/sec; est completion in 48 minutes [INSERT: Count=1083, Max=1920, Min=789, Avg=914.94, 90=957, 99=1014, 99.9=1890, 99.99=1920] 
2025-08-10 22:44:53:905 22 sec: 22652 operations; 1068 current ops/sec; est completion in 48 minutes [INSERT: Count=1069, Max=1382, Min=827, Avg=921.5, 90=960, 99=1015, 99.9=1149, 99.99=1382] 
2025-08-10 22:44:54:903 23 sec: 23744 operations; 1092 current ops/sec; est completion in 48 minutes [INSERT: Count=1091, Max=1056, Min=778, Avg=908.85, 90=947, 99=986, 99.9=1051, 99.99=1056] 
2025-08-10 22:44:55:903 24 sec: 24828 operations; 1084 current ops/sec; est completion in 47 minutes [INSERT: Count=1084, Max=1234, Min=811, Avg=912.97, 90=953, 99=1010, 99.9=1076, 99.99=1234] 
2025-08-10 22:44:56:903 25 sec: 25913 operations; 1085 current ops/sec; est completion in 47 minutes [INSERT: Count=1085, Max=2211, Min=756, Avg=911.96, 90=948, 99=990, 99.9=1032, 99.99=2211] 
2025-08-10 22:44:57:903 26 sec: 26993 operations; 1080 current ops/sec; est completion in 47 minutes [INSERT: Count=1080, Max=1228, Min=809, Avg=914.53, 90=953, 99=995, 99.9=1063, 99.99=1228] 
2025-08-10 22:44:58:903 27 sec: 28074 operations; 1081 current ops/sec; est completion in 47 minutes [INSERT: Count=1081, Max=1052, Min=838, Avg=916.12, 90=952, 99=992, 99.9=1038, 99.99=1052] 
2025-08-10 22:44:59:903 28 sec: 29155 operations; 1081 current ops/sec; est completion in 47 minutes [INSERT: Count=1081, Max=1054, Min=797, Avg=915.54, 90=952, 99=982, 99.9=1022, 99.99=1054] 
2025-08-10 22:45:00:903 29 sec: 30237 operations; 1082 current ops/sec; est completion in 47 minutes [INSERT: Count=1083, Max=1052, Min=820, Avg=915.22, 90=952, 99=985, 99.9=1020, 99.99=1052] 
2025-08-10 22:45:01:903 30 sec: 31322 operations; 1085 current ops/sec; est completion in 47 minutes [INSERT: Count=1084, Max=1015, Min=815, Avg=912.15, 90=949, 99=991, 99.9=1012, 99.99=1015] 
2025-08-10 22:45:02:903 31 sec: 32414 operations; 1092 current ops/sec; est completion in 47 minutes [INSERT: Count=1092, Max=992, Min=820, Avg=907.97, 90=943, 99=974, 99.9=987, 99.99=992] 
2025-08-10 22:45:03:903 32 sec: 33501 operations; 1087 current ops/sec; est completion in 47 minutes [INSERT: Count=1087, Max=1021, Min=788, Avg=910.88, 90=945, 99=981, 99.9=1014, 99.99=1021] 
2025-08-10 22:45:04:903 33 sec: 34586 operations; 1085 current ops/sec; est completion in 47 minutes [INSERT: Count=1085, Max=1048, Min=806, Avg=913.2, 90=949, 99=985, 99.9=1009, 99.99=1048] 
2025-08-10 22:45:05:903 34 sec: 35674 operations; 1088 current ops/sec; est completion in 47 minutes [INSERT: Count=1089, Max=1058, Min=790, Avg=911.11, 90=949, 99=993, 99.9=1015, 99.99=1058] 
2025-08-10 22:45:06:903 35 sec: 36770 operations; 1096 current ops/sec; est completion in 47 minutes [INSERT: Count=1095, Max=1031, Min=830, Avg=907.56, 90=942, 99=972, 99.9=1011, 99.99=1031] 
2025-08-10 22:45:07:903 36 sec: 37864 operations; 1094 current ops/sec; est completion in 46 minutes [INSERT: Count=1094, Max=1012, Min=771, Avg=908.07, 90=945, 99=977, 99.9=1005, 99.99=1012] 
2025-08-10 22:45:08:903 37 sec: 38949 operations; 1085 current ops/sec; est completion in 46 minutes [INSERT: Count=1085, Max=2025, Min=752, Avg=913.76, 90=949, 99=998, 99.9=1040, 99.99=2025] 
2025-08-10 22:45:09:903 38 sec: 40022 operations; 1073 current ops/sec; est completion in 46 minutes [INSERT: Count=1073, Max=1921, Min=820, Avg=923.68, 90=965, 99=1010, 99.9=1088, 99.99=1921] 
2025-08-10 22:45:10:903 39 sec: 41093 operations; 1071 current ops/sec; est completion in 46 minutes [INSERT: Count=1071, Max=2001, Min=782, Avg=925.49, 90=964, 99=1002, 99.9=1046, 99.99=2001] 
2025-08-10 22:45:11:903 40 sec: 42177 operations; 1084 current ops/sec; est completion in 46 minutes [INSERT: Count=1084, Max=2819, Min=677, Avg=916.58, 90=955, 99=992, 99.9=1043, 99.99=2819] 
2025-08-10 22:45:12:903 41 sec: 43264 operations; 1087 current ops/sec; est completion in 46 minutes [INSERT: Count=1087, Max=1023, Min=824, Avg=914.8, 90=951, 99=992, 99.9=1022, 99.99=1023] 
2025-08-10 22:45:13:903 42 sec: 44352 operations; 1088 current ops/sec; est completion in 46 minutes [INSERT: Count=1089, Max=1099, Min=670, Avg=910.46, 90=949, 99=987, 99.9=1048, 99.99=1099] 
2025-08-10 22:45:14:903 43 sec: 45440 operations; 1088 current ops/sec; est completion in 46 minutes [INSERT: Count=1087, Max=1020, Min=813, Avg=912.12, 90=947, 99=986, 99.9=1018, 99.99=1020] 
2025-08-10 22:45:15:903 44 sec: 46529 operations; 1089 current ops/sec; est completion in 46 minutes [INSERT: Count=1089, Max=1068, Min=729, Avg=909.99, 90=948, 99=984, 99.9=1031, 99.99=1068] 
2025-08-10 22:45:16:903 45 sec: 47613 operations; 1084 current ops/sec; est completion in 46 minutes [INSERT: Count=1084, Max=2299, Min=674, Avg=910.71, 90=949, 99=981, 99.9=1052, 99.99=2299] 
2025-08-10 22:45:17:903 46 sec: 48702 operations; 1089 current ops/sec; est completion in 46 minutes [INSERT: Count=1089, Max=3069, Min=659, Avg=910.22, 90=947, 99=999, 99.9=1292, 99.99=3069] 
2025-08-10 22:45:18:903 47 sec: 49787 operations; 1085 current ops/sec; est completion in 46 minutes [INSERT: Count=1085, Max=1069, Min=796, Avg=914.52, 90=951, 99=995, 99.9=1047, 99.99=1069] 
2025-08-10 22:45:19:903 48 sec: 50866 operations; 1079 current ops/sec; est completion in 46 minutes [INSERT: Count=1079, Max=1058, Min=782, Avg=918.59, 90=959, 99=1002, 99.9=1030, 99.99=1058] 
2025-08-10 22:45:20:903 49 sec: 51944 operations; 1078 current ops/sec; est completion in 46 minutes [INSERT: Count=1079, Max=1649, Min=719, Avg=918.44, 90=956, 99=990, 99.9=1007, 99.99=1649] 
2025-08-10 22:45:21:903 50 sec: 53011 operations; 1067 current ops/sec; est completion in 46 minutes [INSERT: Count=1066, Max=1740, Min=829, Avg=926.64, 90=963, 99=999, 99.9=1703, 99.99=1740] 
2025-08-10 22:45:22:903 51 sec: 54089 operations; 1078 current ops/sec; est completion in 46 minutes [INSERT: Count=1078, Max=1078, Min=665, Avg=919.81, 90=963, 99=1005, 99.9=1046, 99.99=1078] 
2025-08-10 22:45:23:903 52 sec: 55154 operations; 1065 current ops/sec; est completion in 46 minutes [INSERT: Count=1065, Max=1062, Min=675, Avg=930.7, 90=970, 99=1010, 99.9=1058, 99.99=1062] 
2025-08-10 22:45:24:903 53 sec: 56221 operations; 1067 current ops/sec; est completion in 46 minutes [INSERT: Count=1067, Max=1074, Min=759, Avg=931.47, 90=969, 99=1008, 99.9=1036, 99.99=1074] 
2025-08-10 22:45:25:903 54 sec: 57294 operations; 1073 current ops/sec; est completion in 46 minutes [INSERT: Count=1073, Max=2407, Min=693, Avg=927.28, 90=965, 99=1016, 99.9=1089, 99.99=2407] 
2025-08-10 22:45:26:903 55 sec: 58367 operations; 1073 current ops/sec; est completion in 46 minutes [INSERT: Count=1073, Max=1058, Min=729, Avg=924.62, 90=963, 99=1006, 99.9=1045, 99.99=1058] 
2025-08-10 22:45:27:903 56 sec: 59429 operations; 1062 current ops/sec; est completion in 46 minutes [INSERT: Count=1062, Max=2727, Min=785, Avg=933.19, 90=970, 99=1016, 99.9=1206, 99.99=2727] 
2025-08-10 22:45:28:903 57 sec: 60509 operations; 1080 current ops/sec; est completion in 46 minutes [INSERT: Count=1080, Max=1086, Min=827, Avg=918.36, 90=954, 99=994, 99.9=1069, 99.99=1086] 
2025-08-10 22:45:29:903 58 sec: 61584 operations; 1075 current ops/sec; est completion in 46 minutes [INSERT: Count=1075, Max=2203, Min=814, Avg=921.77, 90=960, 99=1012, 99.9=1089, 99.99=2203] 
2025-08-10 22:45:30:903 59 sec: 62661 operations; 1077 current ops/sec; est completion in 46 minutes [INSERT: Count=1077, Max=1127, Min=823, Avg=920.68, 90=958, 99=1000, 99.9=1125, 99.99=1127] 
2025-08-10 22:45:31:903 60 sec: 63733 operations; 1072 current ops/sec; est completion in 46 minutes [INSERT: Count=1072, Max=2327, Min=667, Avg=924.43, 90=966, 99=1023, 99.9=2167, 99.99=2327] 
2025-08-10 22:45:32:903 61 sec: 64796 operations; 1063 current ops/sec; est completion in 46 minutes [INSERT: Count=1063, Max=3537, Min=838, Avg=933.48, 90=973, 99=1013, 99.9=1072, 99.99=3537] 
