2025-05-01 04:21:00:751 15 sec: 1751000 operations; 125000 current ops/sec; est completion in 3 minutes [INSERT: Count=125000, Max=81535, Min=34816, Avg=57585.28, 90=69311, 99=81279, 99.9=81535, 99.99=81535] 
2025-05-01 04:21:01:751 16 sec: 1870000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=72319, Min=33280, Avg=52868.17, 90=64543, 99=72255, 99.9=72319, 99.99=72319] 
2025-05-01 04:21:02:751 17 sec: 1990000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=77439, Min=33696, Avg=51246.8, 90=62911, 99=75519, 99.9=77439, 99.99=77439] 
2025-05-01 04:21:03:751 18 sec: 2110000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=73471, Min=33312, Avg=50201.2, 90=61023, 99=73471, 99.9=73471, 99.99=73471] 
2025-05-01 04:21:04:751 19 sec: 2226000 operations; 116000 current ops/sec; est completion in 3 minutes [INSERT: Count=116000, Max=74303, Min=32720, Avg=47587.24, 90=57663, 99=71423, 99.9=74303, 99.99=74303] 
2025-05-01 04:21:05:751 20 sec: 2349000 operations; 123000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=76799, Min=33952, Avg=52324.03, 90=65471, 99=76351, 99.9=76799, 99.99=76799] 
2025-05-01 04:21:06:751 21 sec: 2468000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=90239, Min=33504, Avg=55395.36, 90=72575, 99=88063, 99.9=90239, 99.99=90239] 
2025-05-01 04:21:07:751 22 sec: 2588000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74047, Min=34848, Avg=54122.67, 90=64351, 99=73471, 99.9=74047, 99.99=74047] 
2025-05-01 04:21:08:751 23 sec: 2708000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74943, Min=31216, Avg=49378.13, 90=59679, 99=74815, 99.9=74943, 99.99=74943] 
2025-05-01 04:21:09:751 24 sec: 2828000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74175, Min=33536, Avg=49142.93, 90=59871, 99=73151, 99.9=74175, 99.99=74175] 
2025-05-01 04:21:10:751 25 sec: 2949000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=73919, Min=32768, Avg=50689.72, 90=62175, 99=73535, 99.9=73919, 99.99=73919] 
2025-05-01 04:21:11:751 26 sec: 3069000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74239, Min=32496, Avg=51020.87, 90=61503, 99=71551, 99.9=74239, 99.99=74239] 
2025-05-01 04:21:12:751 27 sec: 3189000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74815, Min=31568, Avg=56240.07, 90=67647, 99=74815, 99.9=74815, 99.99=74815] 
2025-05-01 04:21:13:751 28 sec: 3310000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=87423, Min=34112, Avg=59942.88, 90=73023, 99=87039, 99.9=87423, 99.99=87423] 
2025-05-01 04:21:14:751 29 sec: 3429000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=77887, Min=36032, Avg=57661.04, 90=67775, 99=77375, 99.9=77887, 99.99=77887] 
2025-05-01 04:21:15:751 30 sec: 3547000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=78719, Min=32224, Avg=58157.49, 90=64351, 99=76607, 99.9=78719, 99.99=78719] 
2025-05-01 04:21:16:751 31 sec: 3666000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=70207, Min=32688, Avg=54645.58, 90=63839, 99=69695, 99.9=70207, 99.99=70207] 
