2025-05-01 04:41:38:036 16 sec: 1873000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72063, Min=33184, Avg=47300.4, 90=59423, 99=71551, 99.9=72063, 99.99=72063] 
2025-05-01 04:41:39:036 17 sec: 1993000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74047, Min=33600, Avg=45031.6, 90=56831, 99=73215, 99.9=74047, 99.99=74047] 
2025-05-01 04:41:40:036 18 sec: 2112000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119229, Max=75071, Min=33312, Avg=51141.07, 90=61439, 99=74943, 99.9=75071, 99.99=75071] 
2025-05-01 04:41:41:036 19 sec: 2232000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=119771, Max=76095, Min=32752, Avg=50511.3, 90=61535, 99=72895, 99.9=76095, 99.99=76095] 
2025-05-01 04:41:42:036 20 sec: 2351000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=73471, Min=32368, Avg=50792.4, 90=60511, 99=73023, 99.9=73471, 99.99=73471] 
2025-05-01 04:41:43:036 21 sec: 2473000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=81791, Min=33248, Avg=54569.84, 90=70591, 99=81407, 99.9=81791, 99.99=81791] 
2025-05-01 04:41:44:036 22 sec: 2592000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=72191, Min=32688, Avg=51407.39, 90=62335, 99=71423, 99.9=72191, 99.99=72191] 
2025-05-01 04:41:45:036 23 sec: 2713000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=74943, Min=32448, Avg=52491.57, 90=62815, 99=74623, 99.9=74943, 99.99=74943] 
2025-05-01 04:41:46:036 24 sec: 2829000 operations; 116000 current ops/sec; est completion in 3 minutes [INSERT: Count=116000, Max=77247, Min=33728, Avg=52882.07, 90=64927, 99=75455, 99.9=77247, 99.99=77247] 
2025-05-01 04:41:47:036 25 sec: 2953000 operations; 124000 current ops/sec; est completion in 3 minutes [INSERT: Count=124000, Max=73727, Min=31680, Avg=49444.45, 90=60735, 99=73279, 99.9=73727, 99.99=73727] 
2025-05-01 04:41:48:036 26 sec: 3072000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=74303, Min=32800, Avg=48653.31, 90=61311, 99=73471, 99.9=74303, 99.99=74303] 
2025-05-01 04:41:49:036 27 sec: 3190000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=75519, Min=33312, Avg=50650.03, 90=63967, 99=73023, 99.9=75519, 99.99=75519] 
2025-05-01 04:41:50:036 28 sec: 3312000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=82111, Min=34208, Avg=52703.08, 90=65183, 99=79871, 99.9=82111, 99.99=82111] 
2025-05-01 04:41:51:036 29 sec: 3431000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=69439, Min=32560, Avg=41186.76, 90=49951, 99=65375, 99.9=69439, 99.99=69439] 
2025-05-01 04:41:52:036 30 sec: 3552000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=61311, Min=33536, Avg=43530.18, 90=54527, 99=61183, 99.9=61311, 99.99=61311] 
2025-05-01 04:41:53:036 31 sec: 3671000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=69503, Min=33824, Avg=47633.61, 90=58015, 99=68799, 99.9=69503, 99.99=69503] 
2025-05-01 04:41:54:036 32 sec: 3792000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=73151, Min=36544, Avg=53460.63, 90=65439, 99=73087, 99.9=73151, 99.99=73151] 
2025-05-01 04:41:55:036 33 sec: 3912000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73791, Min=34496, Avg=48621.87, 90=62047, 99=73727, 99.9=73791, 99.99=73791] 
2025-05-01 04:41:56:036 34 sec: 4029000 operations; 117000 current ops/sec; est completion in 2 minutes [INSERT: Count=117000, Max=72191, Min=34144, Avg=51346.87, 90=63775, 99=72191, 99.9=72191, 99.99=72191] 
2025-05-01 04:41:57:036 35 sec: 4152000 operations; 123000 current ops/sec; est completion in 2 minutes [INSERT: Count=123000, Max=74495, Min=32144, Avg=49146.67, 90=63903, 99=73407, 99.9=74495, 99.99=74495] 
2025-05-01 04:41:58:036 36 sec: 4273000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=77695, Min=31936, Avg=50854.81, 90=61247, 99=77247, 99.9=77695, 99.99=77695] 
2025-05-01 04:41:59:036 37 sec: 4393000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=77823, Min=33536, Avg=55030.53, 90=67071, 99=77631, 99.9=77823, 99.99=77823] 
2025-05-01 04:42:00:036 38 sec: 4510000 operations; 117000 current ops/sec; est completion in 2 minutes [INSERT: Count=117000, Max=76287, Min=33792, Avg=52511.45, 90=64703, 99=74687, 99.9=76287, 99.99=76287] 
2025-05-01 04:42:01:036 39 sec: 4632000 operations; 122000 current ops/sec; est completion in 2 minutes [INSERT: Count=122000, Max=81535, Min=33280, Avg=52742.69, 90=62527, 99=76735, 99.9=81535, 99.99=81535] 
2025-05-01 04:42:02:036 40 sec: 4752000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74047, Min=34080, Avg=52865.2, 90=63167, 99=73023, 99.9=74047, 99.99=74047] 
2025-05-01 04:42:03:036 41 sec: 4872000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74431, Min=34240, Avg=51264.53, 90=59679, 99=74111, 99.9=74431, 99.99=74431] 
2025-05-01 04:42:04:036 42 sec: 4992000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73343, Min=32064, Avg=51816.47, 90=62495, 99=72959, 99.9=73343, 99.99=73343] 
2025-05-01 04:42:05:036 43 sec: 5111000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=75903, Min=33824, Avg=50250.76, 90=63519, 99=75903, 99.9=75903, 99.99=75903] 
2025-05-01 04:42:06:036 44 sec: 5230000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=67199, Min=31808, Avg=46684.17, 90=53439, 99=64575, 99.9=67199, 99.99=67199] 
2025-05-01 04:42:07:036 45 sec: 5350000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=71935, Min=38944, Avg=53404, 90=65439, 99=71743, 99.9=71935, 99.99=71935] 
