2025-04-30 15:38:13:226 16 sec: 1550000 operations; 96000 current ops/sec; est completion in 4 minutes [INSERT: Count=96000, Max=216319, Min=51552, Avg=92071.5, 90=142463, 99=216319, 99.9=216319, 99.99=216319] 
2025-04-30 15:38:14:226 17 sec: 1653000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=213887, Min=50368, Avg=86243.88, 90=125567, 99=170367, 99.9=213887, 99.99=213887] 
2025-04-30 15:38:15:226 18 sec: 1751000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=135935, Min=52096, Avg=84166.37, 90=113919, 99=135935, 99.9=135935, 99.99=135935] 
2025-04-30 15:38:16:226 19 sec: 1854000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=150015, Min=52800, Avg=90016.62, 90=121663, 99=148351, 99.9=150015, 99.99=150015] 
2025-04-30 15:38:17:226 20 sec: 1952000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=129727, Min=51776, Avg=78155.59, 90=108415, 99=129727, 99.9=129727, 99.99=129727] 
2025-04-30 15:38:18:226 21 sec: 2050000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=171519, Min=48832, Avg=85337.8, 90=129599, 99=171519, 99.9=171519, 99.99=171519] 
2025-04-30 15:38:19:226 22 sec: 2155000 operations; 105000 current ops/sec; est completion in 3 minutes [INSERT: Count=105000, Max=220799, Min=51776, Avg=108642.9, 90=161791, 99=220287, 99.9=220799, 99.99=220799] 
2025-04-30 15:38:20:226 23 sec: 2253000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=178943, Min=51936, Avg=94883.92, 90=143871, 99=178943, 99.9=178943, 99.99=178943] 
2025-04-30 15:38:21:226 24 sec: 2351000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=220287, Min=53824, Avg=106772.41, 90=162559, 99=220287, 99.9=220287, 99.99=220287] 
2025-04-30 15:38:22:226 25 sec: 2454000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=153983, Min=53152, Avg=78164.97, 90=128127, 99=148991, 99.9=153983, 99.99=153983] 
2025-04-30 15:38:23:226 26 sec: 2553000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=153983, Min=47232, Avg=71484.77, 90=109503, 99=153983, 99.9=153983, 99.99=153983] 
2025-04-30 15:38:24:226 27 sec: 2654000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=153983, Min=48608, Avg=77737.98, 90=113727, 99=152063, 99.9=153983, 99.99=153983] 
2025-04-30 15:38:25:226 28 sec: 2755000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=158719, Min=51616, Avg=76885.07, 90=111103, 99=149887, 99.9=158719, 99.99=158719] 
2025-04-30 15:38:26:226 29 sec: 2856000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=199295, Min=50880, Avg=78372.12, 90=117631, 99=180735, 99.9=199295, 99.99=199295] 
2025-04-30 15:38:27:226 30 sec: 2949000 operations; 93000 current ops/sec; est completion in 3 minutes [INSERT: Count=93000, Max=151807, Min=52608, Avg=80019.61, 90=112959, 99=151807, 99.9=151807, 99.99=151807] 
2025-04-30 15:38:28:226 31 sec: 3051000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=183935, Min=49760, Avg=104550.27, 90=153727, 99=181119, 99.9=183935, 99.99=183935] 
2025-04-30 15:38:29:226 32 sec: 3154000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=212095, Min=47552, Avg=100935.92, 90=153983, 99=191487, 99.9=212095, 99.99=212095] 
2025-04-30 15:38:30:226 33 sec: 3255000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=166399, Min=52192, Avg=83125.23, 90=129919, 99=159871, 99.9=166399, 99.99=166399] 
2025-04-30 15:38:31:226 34 sec: 3353000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=175743, Min=46272, Avg=82860.41, 90=141823, 99=175743, 99.9=175743, 99.99=175743] 
2025-04-30 15:38:32:226 35 sec: 3455000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=187263, Min=49728, Avg=89029.49, 90=124735, 99=172927, 99.9=187263, 99.99=187263] 
2025-04-30 15:38:33:226 36 sec: 3553000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=164607, Min=49760, Avg=78287.02, 90=111999, 99=164607, 99.9=164607, 99.99=164607] 
2025-04-30 15:38:34:226 37 sec: 3656000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=225407, Min=50432, Avg=100778.41, 90=165887, 99=207999, 99.9=225407, 99.99=225407] 
2025-04-30 15:38:35:226 38 sec: 3754000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=158847, Min=51936, Avg=79257.47, 90=111935, 99=158847, 99.9=158847, 99.99=158847] 
2025-04-30 15:38:36:226 39 sec: 3854000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=152447, Min=50112, Avg=77326.56, 90=108735, 99=145151, 99.9=152447, 99.99=152447] 
2025-04-30 15:38:37:226 40 sec: 3954000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=179583, Min=45472, Avg=83054.24, 90=124287, 99=169983, 99.9=179583, 99.99=179583] 
2025-04-30 15:38:38:226 41 sec: 4055000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=141695, Min=50944, Avg=72992.48, 90=95743, 99=127167, 99.9=141695, 99.99=141695] 
2025-04-30 15:38:39:226 42 sec: 4154000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=188671, Min=51008, Avg=81475.88, 90=128575, 99=188671, 99.9=188671, 99.99=188671] 
2025-04-30 15:38:40:226 43 sec: 4254000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=136191, Min=49792, Avg=79046.08, 90=107839, 99=133247, 99.9=136191, 99.99=136191] 
2025-04-30 15:38:41:226 44 sec: 4355000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=153599, Min=51424, Avg=77898.46, 90=119423, 99=149631, 99.9=153599, 99.99=153599] 
2025-04-30 15:38:42:226 45 sec: 4455000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=136703, Min=48320, Avg=75498.72, 90=102975, 99=121791, 99.9=136703, 99.99=136703] 
2025-04-30 15:38:43:226 46 sec: 4557000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=158463, Min=52672, Avg=73657.57, 90=99455, 99=139263, 99.9=158463, 99.99=158463] 
