2025-04-30 16:01:39:377 16 sec: 1553000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=253439, Min=52352, Avg=86833.76, 90=130175, 99=198399, 99.9=253439, 99.99=253439] 
2025-04-30 16:01:40:377 17 sec: 1655000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=136831, Min=46496, Avg=77884.71, 90=109695, 99=130495, 99.9=136831, 99.99=136831] 
2025-04-30 16:01:41:377 18 sec: 1754000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=120127, Min=51008, Avg=71179.96, 90=98175, 99=120127, 99.9=120127, 99.99=120127] 
2025-04-30 16:01:42:377 19 sec: 1856000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=116287, Min=46976, Avg=70714.51, 90=92863, 99=109311, 99.9=116287, 99.99=116287] 
2025-04-30 16:01:43:377 20 sec: 1953000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=106367, Min=51232, Avg=70841.4, 90=93631, 99=106367, 99.9=106367, 99.99=106367] 
2025-04-30 16:01:44:377 21 sec: 2053000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=146687, Min=44320, Avg=73369.28, 90=109183, 99=130239, 99.9=146687, 99.99=146687] 
2025-04-30 16:01:45:377 22 sec: 2153000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=201599, Min=48768, Avg=90875.36, 90=143871, 99=197247, 99.9=201599, 99.99=201599] 
2025-04-30 16:01:46:377 23 sec: 2253000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=160639, Min=50816, Avg=80577.12, 90=112895, 99=148735, 99.9=160639, 99.99=160639] 
2025-04-30 16:01:47:377 24 sec: 2350000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=185343, Min=51008, Avg=86912.99, 90=126527, 99=185343, 99.9=185343, 99.99=185343] 
2025-04-30 16:01:48:377 25 sec: 2452000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=185855, Min=50880, Avg=92625.73, 90=141695, 99=167935, 99.9=185855, 99.99=185855] 
2025-04-30 16:01:49:377 26 sec: 2554000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=150911, Min=44992, Avg=80762.04, 90=106175, 99=150015, 99.9=150911, 99.99=150911] 
2025-04-30 16:01:50:377 27 sec: 2653000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=175743, Min=48064, Avg=85397.33, 90=126655, 99=175743, 99.9=175743, 99.99=175743] 
2025-04-30 16:01:51:377 28 sec: 2754000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=164735, Min=50528, Avg=80053.39, 90=122815, 99=163071, 99.9=164735, 99.99=164735] 
2025-04-30 16:01:52:377 29 sec: 2853000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=170239, Min=48640, Avg=88013.58, 90=126911, 99=170239, 99.9=170239, 99.99=170239] 
2025-04-30 16:01:53:377 30 sec: 2954000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=148223, Min=52832, Avg=82225.74, 90=118463, 99=138751, 99.9=148223, 99.99=148223] 
2025-04-30 16:01:54:377 31 sec: 3053000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=131455, Min=50848, Avg=71155.39, 90=106751, 99=131455, 99.9=131455, 99.99=131455] 
2025-04-30 16:01:55:377 32 sec: 3156000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=147967, Min=43872, Avg=70958.91, 90=113727, 99=135551, 99.9=147967, 99.99=147967] 
2025-04-30 16:01:56:377 33 sec: 3251000 operations; 95000 current ops/sec; est completion in 4 minutes [INSERT: Count=95000, Max=128767, Min=51744, Avg=70231.75, 90=99199, 99=128767, 99.9=128767, 99.99=128767] 
2025-04-30 16:01:57:377 34 sec: 3351000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=180991, Min=46080, Avg=76823.68, 90=109439, 99=165375, 99.9=180991, 99.99=180991] 
2025-04-30 16:01:58:377 35 sec: 3453000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=208511, Min=46816, Avg=90106.51, 90=139391, 99=188927, 99.9=208511, 99.99=208511] 
2025-04-30 16:01:59:377 36 sec: 3552000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=160639, Min=49056, Avg=79727.19, 90=115263, 99=160639, 99.9=160639, 99.99=160639] 
2025-04-30 16:02:00:377 37 sec: 3652000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=175231, Min=49600, Avg=90510.4, 90=141695, 99=169727, 99.9=175231, 99.99=175231] 
2025-04-30 16:02:01:377 38 sec: 3750000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=154111, Min=52512, Avg=81759.67, 90=116543, 99=154111, 99.9=154111, 99.99=154111] 
2025-04-30 16:02:02:377 39 sec: 3850000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=236927, Min=48480, Avg=97528.48, 90=154111, 99=229887, 99.9=236927, 99.99=236927] 
2025-04-30 16:02:03:377 40 sec: 3954000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=186495, Min=49024, Avg=96975.08, 90=145535, 99=179711, 99.9=186495, 99.99=186495] 
2025-04-30 16:02:04:377 41 sec: 4052000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=188543, Min=52480, Avg=86395.92, 90=126271, 99=188543, 99.9=188543, 99.99=188543] 
2025-04-30 16:02:05:377 42 sec: 4151000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=186239, Min=48864, Avg=90608.65, 90=134015, 99=186239, 99.9=186239, 99.99=186239] 
2025-04-30 16:02:06:377 43 sec: 4250000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=160639, Min=52512, Avg=86228.53, 90=126015, 99=160639, 99.9=160639, 99.99=160639] 
2025-04-30 16:02:07:377 44 sec: 4352000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=139263, Min=51072, Avg=88450.98, 90=129343, 99=136063, 99.9=139263, 99.99=139263] 
2025-04-30 16:02:08:377 45 sec: 4454000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=156927, Min=51104, Avg=90157.36, 90=128895, 99=154239, 99.9=156927, 99.99=156927] 
2025-04-30 16:02:09:377 46 sec: 4552000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=152703, Min=50464, Avg=79163.88, 90=114303, 99=152703, 99.9=152703, 99.99=152703] 
2025-04-30 16:02:10:377 47 sec: 4650000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=166143, Min=50688, Avg=86700.41, 90=122495, 99=166143, 99.9=166143, 99.99=166143] 
2025-04-30 16:02:11:377 48 sec: 4753000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=169087, Min=52864, Avg=85774.29, 90=115263, 99=166015, 99.9=169087, 99.99=169087] 
2025-04-30 16:02:12:377 49 sec: 4852000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=162943, Min=49344, Avg=75790.87, 90=112703, 99=162943, 99.9=162943, 99.99=162943] 
2025-04-30 16:02:13:377 50 sec: 4951000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=192895, Min=50304, Avg=96448.32, 90=165759, 99=192895, 99.9=192895, 99.99=192895] 
2025-04-30 16:02:14:377 51 sec: 5052000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=165503, Min=53152, Avg=80701.62, 90=122175, 99=144127, 99.9=165503, 99.99=165503] 
2025-04-30 16:02:15:377 52 sec: 5155000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=177151, Min=45088, Avg=70544.31, 90=111295, 99=168191, 99.9=177151, 99.99=177151] 
2025-04-30 16:02:16:377 53 sec: 5252000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=248319, Min=50880, Avg=78861.86, 90=139135, 99=248319, 99.9=248319, 99.99=248319] 
2025-04-30 16:02:17:377 54 sec: 5354000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=147711, Min=50592, Avg=71596.55, 90=100863, 99=144639, 99.9=147711, 99.99=147711] 
2025-04-30 16:02:18:377 55 sec: 5454000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=173567, Min=49696, Avg=80789.92, 90=118975, 99=162047, 99.9=173567, 99.99=173567] 
2025-04-30 16:02:19:377 56 sec: 5553000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=139775, Min=52768, Avg=73917.74, 90=105087, 99=139775, 99.9=139775, 99.99=139775] 
2025-04-30 16:02:20:377 57 sec: 5654000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=164351, Min=50176, Avg=72220.67, 90=97663, 99=151935, 99.9=164351, 99.99=164351] 
2025-04-30 16:02:21:377 58 sec: 5755000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=172799, Min=50272, Avg=76940.67, 90=116287, 99=170623, 99.9=172799, 99.99=172799] 
2025-04-30 16:02:22:377 59 sec: 5854000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=145535, Min=51744, Avg=77081.86, 90=111423, 99=145535, 99.9=145535, 99.99=145535] 
2025-04-30 16:02:23:377 60 sec: 5952000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=138111, Min=47840, Avg=71457.63, 90=98239, 99=138111, 99.9=138111, 99.99=138111] 
2025-04-30 16:02:24:377 61 sec: 6051000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=149631, Min=50848, Avg=74501.92, 90=106687, 99=145919, 99.9=149631, 99.99=149631] 
2025-04-30 16:02:25:377 62 sec: 6155000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=111231, Min=48384, Avg=63767.3, 90=84671, 99=110975, 99.9=111231, 99.99=111231] 
2025-04-30 16:02:26:377 63 sec: 6254000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=136575, Min=47744, Avg=67818.02, 90=92031, 99=136575, 99.9=136575, 99.99=136575] 
2025-04-30 16:02:27:377 64 sec: 6353000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=156799, Min=51456, Avg=67632.32, 90=94847, 99=156799, 99.9=156799, 99.99=156799] 
2025-04-30 16:02:28:377 65 sec: 6455000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=193023, Min=45920, Avg=73284.39, 90=108031, 99=165759, 99.9=193023, 99.99=193023] 
2025-04-30 16:02:29:377 66 sec: 6553000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=140799, Min=51168, Avg=69414.2, 90=95743, 99=140799, 99.9=140799, 99.99=140799] 
2025-04-30 16:02:30:377 67 sec: 6652000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=122879, Min=47264, Avg=75897.7, 90=106047, 99=122879, 99.9=122879, 99.99=122879] 
2025-04-30 16:02:31:377 68 sec: 6754000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=191359, Min=53184, Avg=89720.63, 90=125055, 99=187775, 99.9=191359, 99.99=191359] 
2025-04-30 16:02:32:377 69 sec: 6853000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=129023, Min=52640, Avg=72737.78, 90=94655, 99=129023, 99.9=129023, 99.99=129023] 
2025-04-30 16:02:33:377 70 sec: 6952000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=233983, Min=49824, Avg=79244.28, 90=111871, 99=233983, 99.9=233983, 99.99=233983] 
2025-04-30 16:02:34:377 71 sec: 7053000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=160895, Min=47840, Avg=82613.23, 90=119423, 99=157695, 99.9=160895, 99.99=160895] 
2025-04-30 16:02:35:377 72 sec: 7153000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=155263, Min=50080, Avg=82743.52, 90=120511, 99=151935, 99.9=155263, 99.99=155263] 
2025-04-30 16:02:36:377 73 sec: 7255000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=143103, Min=47712, Avg=76084.86, 90=116415, 99=137471, 99.9=143103, 99.99=143103] 
2025-04-30 16:02:37:377 74 sec: 7352000 operations; 97000 current ops/sec; est completion in 3 minutes [INSERT: Count=97000, Max=183551, Min=51008, Avg=70942.52, 90=95615, 99=183551, 99.9=183551, 99.99=183551] 
2025-04-30 16:02:38:377 75 sec: 7455000 operations; 103000 current ops/sec; est completion in 3 minutes [INSERT: Count=103000, Max=143103, Min=47008, Avg=69867.81, 90=103615, 99=140031, 99.9=143103, 99.99=143103] 
2025-04-30 16:02:39:377 76 sec: 7555000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=210047, Min=50144, Avg=82631.04, 90=118335, 99=198655, 99.9=210047, 99.99=210047] 
2025-04-30 16:02:40:377 77 sec: 7655000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=98687, Min=49888, Avg=63606.88, 90=85823, 99=98303, 99.9=98687, 99.99=98687] 
2025-04-30 16:02:41:377 78 sec: 7753000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=137983, Min=47616, Avg=69502.2, 90=92543, 99=137983, 99.9=137983, 99.99=137983] 
2025-04-30 16:02:42:377 79 sec: 7851000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=151679, Min=46912, Avg=81314.45, 90=108799, 99=151679, 99.9=151679, 99.99=151679] 
2025-04-30 16:02:43:377 80 sec: 7955000 operations; 104000 current ops/sec; est completion in 3 minutes [INSERT: Count=104000, Max=160383, Min=46432, Avg=62449.08, 90=77503, 99=139775, 99.9=160383, 99.99=160383] 
2025-04-30 16:02:44:377 81 sec: 8055000 operations; 100000 current ops/sec; est completion in 3 minutes [INSERT: Count=100000, Max=99071, Min=48384, Avg=61333.6, 90=73919, 99=96063, 99.9=99071, 99.99=99071] 
2025-04-30 16:02:45:377 82 sec: 8157000 operations; 102000 current ops/sec; est completion in 3 minutes [INSERT: Count=102000, Max=97727, Min=51616, Avg=56575.69, 90=63167, 99=82111, 99.9=97727, 99.99=97727] 
2025-04-30 16:02:46:377 83 sec: 8255000 operations; 98000 current ops/sec; est completion in 3 minutes [INSERT: Count=98000, Max=115903, Min=45184, Avg=60440.98, 90=80703, 99=115903, 99.9=115903, 99.99=115903] 
2025-04-30 16:02:47:377 84 sec: 8349000 operations; 94000 current ops/sec; est completion in 3 minutes [INSERT: Count=94000, Max=164223, Min=51936, Avg=69929.7, 90=97983, 99=164223, 99.9=164223, 99.99=164223] 
2025-04-30 16:02:48:377 85 sec: 8454000 operations; 105000 current ops/sec; est completion in 3 minutes [INSERT: Count=105000, Max=165631, Min=52000, Avg=81375.24, 90=118271, 99=151935, 99.9=165631, 99.99=165631] 
2025-04-30 16:02:49:377 86 sec: 8555000 operations; 101000 current ops/sec; est completion in 3 minutes [INSERT: Count=101000, Max=149119, Min=45472, Avg=70084.12, 90=93439, 99=138367, 99.9=149119, 99.99=149119] 
2025-04-30 16:02:50:377 87 sec: 8654000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=115775, Min=52704, Avg=76214.63, 90=98367, 99=115775, 99.9=115775, 99.99=115775] 
2025-04-30 16:02:51:377 88 sec: 8753000 operations; 99000 current ops/sec; est completion in 3 minutes [INSERT: Count=99000, Max=133375, Min=50560, Avg=73734.95, 90=111295, 99=133375, 99.9=133375, 99.99=133375] 
