2025-08-18 15:22:46:355 150 sec: 2313018 operations; 15807.5 current ops/sec; est completion in 1 hour 45 minutes [INSERT: Count=158080, Max=16511, Min=536, Avg=2019.06, 90=2689, 99=3771, 99.9=5931, 99.99=13239] 
2025-08-18 15:22:56:355 160 sec: 2471225 operations; 15820.7 current ops/sec; est completion in 1 hour 45 minutes [INSERT: Count=158201, Max=9423, Min=548, Avg=2017.48, 90=2691, 99=3703, 99.9=5159, 99.99=7631] 
2025-08-18 15:23:06:355 170 sec: 2630454 operations; 15922.9 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=159231, Max=8575, Min=550, Avg=2004.43, 90=2677, 99=3693, 99.9=5095, 99.99=6595] 
2025-08-18 15:23:16:355 180 sec: 2788913 operations; 15845.9 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=158461, Max=9591, Min=551, Avg=2014.3, 90=2693, 99=3729, 99.9=5159, 99.99=7555] 
2025-08-18 15:23:26:356 190 sec: 2945958 operations; 15702.93 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=157051, Max=10743, Min=530, Avg=2031.42, 90=2709, 99=3731, 99.9=5439, 99.99=8655] 
2025-08-18 15:23:36:355 200 sec: 3101729 operations; 15578.66 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=155761, Max=9207, Min=536, Avg=2048.49, 90=2711, 99=3727, 99.9=5235, 99.99=7471] 
2025-08-18 15:23:46:355 210 sec: 3259312 operations; 15758.3 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=157582, Max=12479, Min=555, Avg=2025.37, 90=2691, 99=3733, 99.9=5427, 99.99=10103] 
2025-08-18 15:23:56:355 220 sec: 3416297 operations; 15698.5 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=156988, Max=8583, Min=530, Avg=2033.28, 90=2705, 99=3715, 99.9=5115, 99.99=7067] 
2025-08-18 15:24:06:355 230 sec: 3574558 operations; 15826.1 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=158258, Max=9239, Min=534, Avg=2016.79, 90=2689, 99=3703, 99.9=5223, 99.99=7659] 
2025-08-18 15:24:16:355 240 sec: 3729105 operations; 15454.7 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=154549, Max=7947, Min=548, Avg=2065.42, 90=2729, 99=3713, 99.9=5063, 99.99=7003] 
2025-08-18 15:24:26:355 250 sec: 3885998 operations; 15689.3 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=156891, Max=9639, Min=523, Avg=2034.3, 90=2709, 99=3719, 99.9=5439, 99.99=7931] 
2025-08-18 15:24:36:355 260 sec: 4044341 operations; 15834.3 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=158345, Max=9423, Min=547, Avg=2015.85, 90=2693, 99=3745, 99.9=5371, 99.99=7591] 
2025-08-18 15:24:46:355 270 sec: 4202173 operations; 15783.2 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=157838, Max=12999, Min=521, Avg=2022.27, 90=2697, 99=3737, 99.9=5355, 99.99=7959] 
2025-08-18 15:24:56:355 280 sec: 4358818 operations; 15664.5 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=156637, Max=9159, Min=560, Avg=2037.73, 90=2709, 99=3711, 99.9=5043, 99.99=6955] 
2025-08-18 15:25:06:355 290 sec: 4517717 operations; 15889.9 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=158899, Max=20351, Min=529, Avg=2008.69, 90=2679, 99=3707, 99.9=5595, 99.99=17167] 
2025-08-18 15:25:16:355 300 sec: 4676140 operations; 15842.3 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=158428, Max=9663, Min=563, Avg=2014.73, 90=2689, 99=3753, 99.9=5687, 99.99=7779] 
2025-08-18 15:25:26:355 310 sec: 4834873 operations; 15873.3 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=158729, Max=10207, Min=548, Avg=2010.88, 90=2687, 99=3719, 99.9=5487, 99.99=7703] 
2025-08-18 15:25:36:355 320 sec: 4993228 operations; 15835.5 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=158360, Max=9351, Min=553, Avg=2014.43, 90=2689, 99=3739, 99.9=5147, 99.99=7759] 
2025-08-18 15:25:46:355 330 sec: 5149358 operations; 15613 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=156130, Max=8919, Min=504, Avg=2044.18, 90=2719, 99=3735, 99.9=5191, 99.99=7131] 
2025-08-18 15:25:56:355 340 sec: 5308146 operations; 15878.8 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=158787, Max=9215, Min=537, Avg=2010.13, 90=2685, 99=3731, 99.9=5115, 99.99=7639] 
2025-08-18 15:26:06:355 350 sec: 5466193 operations; 15804.7 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=158043, Max=9703, Min=547, Avg=2019.67, 90=2699, 99=3761, 99.9=5499, 99.99=7691] 
2025-08-18 15:26:16:355 360 sec: 5625264 operations; 15907.1 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=159071, Max=11527, Min=583, Avg=2006.63, 90=2681, 99=3727, 99.9=5235, 99.99=7503] 
2025-08-18 15:26:26:355 370 sec: 5782476 operations; 15721.2 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=157217, Max=10279, Min=547, Avg=2030.29, 90=2701, 99=3709, 99.9=5179, 99.99=7747] 
2025-08-18 15:26:36:355 380 sec: 5941695 operations; 15921.9 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=159214, Max=9327, Min=554, Avg=2004.66, 90=2675, 99=3731, 99.9=5519, 99.99=7103] 
2025-08-18 15:26:46:355 390 sec: 6100445 operations; 15875 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=158751, Max=9031, Min=540, Avg=2010.57, 90=2685, 99=3703, 99.9=5419, 99.99=7855] 
2025-08-18 15:26:56:355 400 sec: 6259208 operations; 15876.3 current ops/sec; est completion in 1 hour 39 minutes [INSERT: Count=158761, Max=9823, Min=578, Avg=2010.38, 90=2687, 99=3747, 99.9=5387, 99.99=7395] 
2025-08-18 15:27:06:355 410 sec: 6411775 operations; 15256.7 current ops/sec; est completion in 1 hour 39 minutes [INSERT: Count=152576, Max=9495, Min=546, Avg=2090.75, 90=2755, 99=3757, 99.9=5239, 99.99=8295] 
2025-08-18 15:27:16:355 420 sec: 6570071 operations; 15829.6 current ops/sec; est completion in 1 hour 39 minutes [INSERT: Count=158288, Max=8559, Min=562, Avg=2016.39, 90=2689, 99=3733, 99.9=5239, 99.99=7115] 
